"year","council","income","activity","val"
2014,"Stratford District Council","Rates","Roading",3278
2014,"Stratford District Council","Regulatory income and petrol tax","Roading",67
2014,"Stratford District Council","Current grants, subsidies, and donations income","Roading",1310
2014,"Stratford District Council","Interest income","Roading",0
2014,"Stratford District Council","Dividend income","Roading",0
2014,"Stratford District Council","Sales and other operating income","Roading",63
2014,"Stratford District Council","Employee costs","Roading",0
2014,"Stratford District Council","Depreciation and amortisation","Roading",2547
2014,"Stratford District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Stratford District Council","Interest expenditure","Roading",0
2014,"Stratford District Council","Purchases and other operating expenditure","Roading",2855
2013,"Stratford District Council","Rates","Roading",3463
2013,"Stratford District Council","Regulatory income and petrol tax","Roading",66
2013,"Stratford District Council","Current grants, subsidies, and donations income","Roading",1077
2013,"Stratford District Council","Interest income","Roading",0
2013,"Stratford District Council","Dividend income","Roading",0
2013,"Stratford District Council","Sales and other operating income","Roading",68
2013,"Stratford District Council","Employee costs","Roading",0
2013,"Stratford District Council","Depreciation and amortisation","Roading",2851
2013,"Stratford District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Stratford District Council","Interest expenditure","Roading",8
2013,"Stratford District Council","Purchases and other operating expenditure","Roading",2258
2012,"Stratford District Council","Rates","Roading",3121
2012,"Stratford District Council","Regulatory income and petrol tax","Roading",69
2012,"Stratford District Council","Current grants, subsidies, and donations income","Roading",2993
2012,"Stratford District Council","Interest income","Roading",0
2012,"Stratford District Council","Dividend income","Roading",0
2012,"Stratford District Council","Sales and other operating income","Roading",65
2012,"Stratford District Council","Employee costs","Roading",0
2012,"Stratford District Council","Depreciation and amortisation","Roading",2737
2012,"Stratford District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Stratford District Council","Interest expenditure","Roading",35
2012,"Stratford District Council","Purchases and other operating expenditure","Roading",2902
2011,"Stratford District Council","Rates","Roading",3120
2011,"Stratford District Council","Regulatory income and petrol tax","Roading",68
2011,"Stratford District Council","Current grants, subsidies, and donations income","Roading",2294
2011,"Stratford District Council","Interest income","Roading",0
2011,"Stratford District Council","Dividend income","Roading",0
2011,"Stratford District Council","Sales and other operating income","Roading",63
2011,"Stratford District Council","Employee costs","Roading",0
2011,"Stratford District Council","Depreciation and amortisation","Roading",2617
2011,"Stratford District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Stratford District Council","Interest expenditure","Roading",54
2011,"Stratford District Council","Purchases and other operating expenditure","Roading",2641
2010,"Stratford District Council","Rates","Roading",2879
2010,"Stratford District Council","Regulatory income and petrol tax","Roading",76
2010,"Stratford District Council","Current grants, subsidies, and donations income","Roading",2271
2010,"Stratford District Council","Interest income","Roading",0
2010,"Stratford District Council","Dividend income","Roading",0
2010,"Stratford District Council","Sales and other operating income","Roading",77
2010,"Stratford District Council","Employee costs","Roading",0
2010,"Stratford District Council","Depreciation and amortisation","Roading",2262
2010,"Stratford District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Stratford District Council","Interest expenditure","Roading",45
2010,"Stratford District Council","Purchases and other operating expenditure","Roading",2317
2009,"Stratford District Council","Rates","Roading",2686
2009,"Stratford District Council","Regulatory income and petrol tax","Roading",76
2009,"Stratford District Council","Current grants, subsidies, and donations income","Roading",2133
2009,"Stratford District Council","Interest income","Roading",0
2009,"Stratford District Council","Dividend income","Roading",0
2009,"Stratford District Council","Sales and other operating income","Roading",107
2009,"Stratford District Council","Employee costs","Roading",0
2009,"Stratford District Council","Depreciation and amortisation","Roading",2233
2009,"Stratford District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Stratford District Council","Interest expenditure","Roading",88
2009,"Stratford District Council","Purchases and other operating expenditure","Roading",2243
2014,"Stratford District Council","Rates","Transportation",0
