"year","council","income","activity","val"
2014,"Taranaki Regional Council","Rates","Roading",0
2014,"Taranaki Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Taranaki Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Taranaki Regional Council","Interest income","Roading",0
2014,"Taranaki Regional Council","Dividend income","Roading",0
2014,"Taranaki Regional Council","Sales and other operating income","Roading",0
2014,"Taranaki Regional Council","Employee costs","Roading",0
2014,"Taranaki Regional Council","Depreciation and amortisation","Roading",0
2014,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Taranaki Regional Council","Interest expenditure","Roading",0
2014,"Taranaki Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Taranaki Regional Council","Rates","Roading",0
2013,"Taranaki Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Taranaki Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Taranaki Regional Council","Interest income","Roading",0
2013,"Taranaki Regional Council","Dividend income","Roading",0
2013,"Taranaki Regional Council","Sales and other operating income","Roading",0
2013,"Taranaki Regional Council","Employee costs","Roading",0
2013,"Taranaki Regional Council","Depreciation and amortisation","Roading",0
2013,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Taranaki Regional Council","Interest expenditure","Roading",0
2013,"Taranaki Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Taranaki Regional Council","Rates","Roading",0
2012,"Taranaki Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Taranaki Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Taranaki Regional Council","Interest income","Roading",0
2012,"Taranaki Regional Council","Dividend income","Roading",0
2012,"Taranaki Regional Council","Sales and other operating income","Roading",0
2012,"Taranaki Regional Council","Employee costs","Roading",0
2012,"Taranaki Regional Council","Depreciation and amortisation","Roading",0
2012,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Taranaki Regional Council","Interest expenditure","Roading",0
2012,"Taranaki Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Taranaki Regional Council","Rates","Roading",0
2011,"Taranaki Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Taranaki Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Taranaki Regional Council","Interest income","Roading",0
2011,"Taranaki Regional Council","Dividend income","Roading",0
2011,"Taranaki Regional Council","Sales and other operating income","Roading",0
2011,"Taranaki Regional Council","Employee costs","Roading",0
2011,"Taranaki Regional Council","Depreciation and amortisation","Roading",0
2011,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Taranaki Regional Council","Interest expenditure","Roading",0
2011,"Taranaki Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Taranaki Regional Council","Rates","Roading",0
2010,"Taranaki Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Taranaki Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Taranaki Regional Council","Interest income","Roading",0
2010,"Taranaki Regional Council","Dividend income","Roading",0
2010,"Taranaki Regional Council","Sales and other operating income","Roading",0
2010,"Taranaki Regional Council","Employee costs","Roading",0
2010,"Taranaki Regional Council","Depreciation and amortisation","Roading",0
2010,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Taranaki Regional Council","Interest expenditure","Roading",0
2010,"Taranaki Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Taranaki Regional Council","Rates","Roading",0
2009,"Taranaki Regional Council","Regulatory income and petrol tax","Roading",0
2009,"Taranaki Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"Taranaki Regional Council","Interest income","Roading",0
2009,"Taranaki Regional Council","Dividend income","Roading",0
2009,"Taranaki Regional Council","Sales and other operating income","Roading",0
2009,"Taranaki Regional Council","Employee costs","Roading",0
2009,"Taranaki Regional Council","Depreciation and amortisation","Roading",0
2009,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Taranaki Regional Council","Interest expenditure","Roading",0
2009,"Taranaki Regional Council","Purchases and other operating expenditure","Roading",0
2014,"Taranaki Regional Council","Rates","Transportation",1001
2014,"Taranaki Regional Council","Regulatory income and petrol tax","Transportation",0
2014,"Taranaki Regional Council","Current grants, subsidies, and donations income","Transportation",1419
2014,"Taranaki Regional Council","Interest income","Transportation",0
2014,"Taranaki Regional Council","Dividend income","Transportation",0
2014,"Taranaki Regional Council","Sales and other operating income","Transportation",1003
2014,"Taranaki Regional Council","Employee costs","Transportation",178
2014,"Taranaki Regional Council","Depreciation and amortisation","Transportation",5
2014,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Taranaki Regional Council","Interest expenditure","Transportation",0
2014,"Taranaki Regional Council","Purchases and other operating expenditure","Transportation",3060
2013,"Taranaki Regional Council","Rates","Transportation",927
2013,"Taranaki Regional Council","Regulatory income and petrol tax","Transportation",0
2013,"Taranaki Regional Council","Current grants, subsidies, and donations income","Transportation",1329
2013,"Taranaki Regional Council","Interest income","Transportation",0
2013,"Taranaki Regional Council","Dividend income","Transportation",0
2013,"Taranaki Regional Council","Sales and other operating income","Transportation",843
2013,"Taranaki Regional Council","Employee costs","Transportation",184
2013,"Taranaki Regional Council","Depreciation and amortisation","Transportation",5
2013,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Taranaki Regional Council","Interest expenditure","Transportation",0
2013,"Taranaki Regional Council","Purchases and other operating expenditure","Transportation",2782
2012,"Taranaki Regional Council","Rates","Transportation",1097
2012,"Taranaki Regional Council","Regulatory income and petrol tax","Transportation",0
2012,"Taranaki Regional Council","Current grants, subsidies, and donations income","Transportation",1357
2012,"Taranaki Regional Council","Interest income","Transportation",0
2012,"Taranaki Regional Council","Dividend income","Transportation",0
2012,"Taranaki Regional Council","Sales and other operating income","Transportation",811
2012,"Taranaki Regional Council","Employee costs","Transportation",176
2012,"Taranaki Regional Council","Depreciation and amortisation","Transportation",6
2012,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Taranaki Regional Council","Interest expenditure","Transportation",0
2012,"Taranaki Regional Council","Purchases and other operating expenditure","Transportation",2817
2011,"Taranaki Regional Council","Rates","Transportation",711
2011,"Taranaki Regional Council","Regulatory income and petrol tax","Transportation",0
2011,"Taranaki Regional Council","Current grants, subsidies, and donations income","Transportation",1264
2011,"Taranaki Regional Council","Interest income","Transportation",0
2011,"Taranaki Regional Council","Dividend income","Transportation",0
2011,"Taranaki Regional Council","Sales and other operating income","Transportation",768
2011,"Taranaki Regional Council","Employee costs","Transportation",234
2011,"Taranaki Regional Council","Depreciation and amortisation","Transportation",0
2011,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Taranaki Regional Council","Interest expenditure","Transportation",0
2011,"Taranaki Regional Council","Purchases and other operating expenditure","Transportation",2731
2010,"Taranaki Regional Council","Rates","Transportation",611
2010,"Taranaki Regional Council","Regulatory income and petrol tax","Transportation",0
2010,"Taranaki Regional Council","Current grants, subsidies, and donations income","Transportation",919
2010,"Taranaki Regional Council","Interest income","Transportation",0
2010,"Taranaki Regional Council","Dividend income","Transportation",0
2010,"Taranaki Regional Council","Sales and other operating income","Transportation",621
2010,"Taranaki Regional Council","Employee costs","Transportation",263
2010,"Taranaki Regional Council","Depreciation and amortisation","Transportation",0
2010,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Taranaki Regional Council","Interest expenditure","Transportation",0
2010,"Taranaki Regional Council","Purchases and other operating expenditure","Transportation",1953
2009,"Taranaki Regional Council","Rates","Transportation",688
2009,"Taranaki Regional Council","Regulatory income and petrol tax","Transportation",0
2009,"Taranaki Regional Council","Current grants, subsidies, and donations income","Transportation",823
2009,"Taranaki Regional Council","Interest income","Transportation",0
2009,"Taranaki Regional Council","Dividend income","Transportation",0
2009,"Taranaki Regional Council","Sales and other operating income","Transportation",519
2009,"Taranaki Regional Council","Employee costs","Transportation",208
2009,"Taranaki Regional Council","Depreciation and amortisation","Transportation",0
2009,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Taranaki Regional Council","Interest expenditure","Transportation",0
2009,"Taranaki Regional Council","Purchases and other operating expenditure","Transportation",1731
2014,"Taranaki Regional Council","Rates","Water supply",0
2014,"Taranaki Regional Council","Regulatory income and petrol tax","Water supply",0
2014,"Taranaki Regional Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Taranaki Regional Council","Interest income","Water supply",0
2014,"Taranaki Regional Council","Dividend income","Water supply",0
2014,"Taranaki Regional Council","Sales and other operating income","Water supply",0
2014,"Taranaki Regional Council","Employee costs","Water supply",0
2014,"Taranaki Regional Council","Depreciation and amortisation","Water supply",0
2014,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Taranaki Regional Council","Interest expenditure","Water supply",0
2014,"Taranaki Regional Council","Purchases and other operating expenditure","Water supply",0
2013,"Taranaki Regional Council","Rates","Water supply",0
2013,"Taranaki Regional Council","Regulatory income and petrol tax","Water supply",0
2013,"Taranaki Regional Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Taranaki Regional Council","Interest income","Water supply",0
2013,"Taranaki Regional Council","Dividend income","Water supply",0
2013,"Taranaki Regional Council","Sales and other operating income","Water supply",0
2013,"Taranaki Regional Council","Employee costs","Water supply",0
2013,"Taranaki Regional Council","Depreciation and amortisation","Water supply",0
2013,"Taranaki Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Taranaki Regional Council","Interest expenditure","Water supply",0
2013,"Taranaki Regional Council","Purchases and other operating expenditure","Water supply",0
2012,"Taranaki Regional Council","Rates","Water supply",0
2012,"Taranaki Regional Council","Regulatory income and petrol tax","Water supply",0
2012,"Taranaki Regional Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Taranaki Regional Council","Interest income","Water supply",0
2012,"Taranaki Regional Council","Dividend income","Water supply",0
2012,"Taranaki Regional Council","Sales and other operating income","Water supply",0
2012,"Taranaki Regional Council","Employee costs","Water supply",0
