"year","council","income","activity","val"
2014,"Tararua District Council","Rates","Roading",7463
2014,"Tararua District Council","Regulatory income and petrol tax","Roading",158
2014,"Tararua District Council","Current grants, subsidies, and donations income","Roading",3979
2014,"Tararua District Council","Interest income","Roading",0
2014,"Tararua District Council","Dividend income","Roading",0
2014,"Tararua District Council","Sales and other operating income","Roading",404
2014,"Tararua District Council","Employee costs","Roading",833
2014,"Tararua District Council","Depreciation and amortisation","Roading",7257
2014,"Tararua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Tararua District Council","Interest expenditure","Roading",0
2014,"Tararua District Council","Purchases and other operating expenditure","Roading",8351
2013,"Tararua District Council","Rates","Roading",7147
2013,"Tararua District Council","Regulatory income and petrol tax","Roading",157
2013,"Tararua District Council","Current grants, subsidies, and donations income","Roading",4815
2013,"Tararua District Council","Interest income","Roading",0
2013,"Tararua District Council","Dividend income","Roading",0
2013,"Tararua District Council","Sales and other operating income","Roading",675
2013,"Tararua District Council","Employee costs","Roading",811
2013,"Tararua District Council","Depreciation and amortisation","Roading",7849
2013,"Tararua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Tararua District Council","Interest expenditure","Roading",0
2013,"Tararua District Council","Purchases and other operating expenditure","Roading",9363
2012,"Tararua District Council","Rates","Roading",7245
2012,"Tararua District Council","Regulatory income and petrol tax","Roading",152
2012,"Tararua District Council","Current grants, subsidies, and donations income","Roading",4472
2012,"Tararua District Council","Interest income","Roading",0
2012,"Tararua District Council","Dividend income","Roading",0
2012,"Tararua District Council","Sales and other operating income","Roading",62
2012,"Tararua District Council","Employee costs","Roading",0
2012,"Tararua District Council","Depreciation and amortisation","Roading",7525
2012,"Tararua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Tararua District Council","Interest expenditure","Roading",159
2012,"Tararua District Council","Purchases and other operating expenditure","Roading",5059
2011,"Tararua District Council","Rates","Roading",6631
2011,"Tararua District Council","Regulatory income and petrol tax","Roading",131
2011,"Tararua District Council","Current grants, subsidies, and donations income","Roading",7503
2011,"Tararua District Council","Interest income","Roading",0
2011,"Tararua District Council","Dividend income","Roading",0
2011,"Tararua District Council","Sales and other operating income","Roading",19
2011,"Tararua District Council","Employee costs","Roading",1625
2011,"Tararua District Council","Depreciation and amortisation","Roading",7225
2011,"Tararua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Tararua District Council","Interest expenditure","Roading",130
2011,"Tararua District Council","Purchases and other operating expenditure","Roading",4521
2010,"Tararua District Council","Rates","Roading",6527
2010,"Tararua District Council","Regulatory income and petrol tax","Roading",150
2010,"Tararua District Council","Current grants, subsidies, and donations income","Roading",7251
2010,"Tararua District Council","Interest income","Roading",0
2010,"Tararua District Council","Dividend income","Roading",0
2010,"Tararua District Council","Sales and other operating income","Roading",294
2010,"Tararua District Council","Employee costs","Roading",1669
2010,"Tararua District Council","Depreciation and amortisation","Roading",6937
2010,"Tararua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Tararua District Council","Interest expenditure","Roading",151
2010,"Tararua District Council","Purchases and other operating expenditure","Roading",5134
2009,"Tararua District Council","Rates","Roading",7546
2009,"Tararua District Council","Regulatory income and petrol tax","Roading",151
2009,"Tararua District Council","Current grants, subsidies, and donations income","Roading",4810
2009,"Tararua District Council","Interest income","Roading",0
2009,"Tararua District Council","Dividend income","Roading",0
2009,"Tararua District Council","Sales and other operating income","Roading",231
2009,"Tararua District Council","Employee costs","Roading",1702
2009,"Tararua District Council","Depreciation and amortisation","Roading",5775
2009,"Tararua District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Tararua District Council","Interest expenditure","Roading",166
2009,"Tararua District Council","Purchases and other operating expenditure","Roading",5897
2014,"Tararua District Council","Rates","Transportation",0
2014,"Tararua District Council","Regulatory income and petrol tax","Transportation",0
2014,"Tararua District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Tararua District Council","Interest income","Transportation",0
2014,"Tararua District Council","Dividend income","Transportation",0
2014,"Tararua District Council","Sales and other operating income","Transportation",0
2014,"Tararua District Council","Employee costs","Transportation",0
2014,"Tararua District Council","Depreciation and amortisation","Transportation",0
2014,"Tararua District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Tararua District Council","Interest expenditure","Transportation",0
2014,"Tararua District Council","Purchases and other operating expenditure","Transportation",18
2013,"Tararua District Council","Rates","Transportation",0
2013,"Tararua District Council","Regulatory income and petrol tax","Transportation",27
2013,"Tararua District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Tararua District Council","Interest income","Transportation",0
2013,"Tararua District Council","Dividend income","Transportation",0
2013,"Tararua District Council","Sales and other operating income","Transportation",0
2013,"Tararua District Council","Employee costs","Transportation",0
2013,"Tararua District Council","Depreciation and amortisation","Transportation",0
2013,"Tararua District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Tararua District Council","Interest expenditure","Transportation",0
2013,"Tararua District Council","Purchases and other operating expenditure","Transportation",15
2012,"Tararua District Council","Rates","Transportation",0
2012,"Tararua District Council","Regulatory income and petrol tax","Transportation",0
2012,"Tararua District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Tararua District Council","Interest income","Transportation",0
2012,"Tararua District Council","Dividend income","Transportation",0
2012,"Tararua District Council","Sales and other operating income","Transportation",0
2012,"Tararua District Council","Employee costs","Transportation",0
2012,"Tararua District Council","Depreciation and amortisation","Transportation",0
2012,"Tararua District Council","Current grants, subsidies, and donations expenditure","Transportation",0
