"year","council","income","activity","val"
2014,"Tasman District Council","Rates","Roading",9619
2014,"Tasman District Council","Regulatory income and petrol tax","Roading",353
2014,"Tasman District Council","Current grants, subsidies, and donations income","Roading",3952
2014,"Tasman District Council","Interest income","Roading",0
2014,"Tasman District Council","Dividend income","Roading",0
2014,"Tasman District Council","Sales and other operating income","Roading",448
2014,"Tasman District Council","Employee costs","Roading",477
2014,"Tasman District Council","Depreciation and amortisation","Roading",8862
2014,"Tasman District Council","Current grants, subsidies, and donations expenditure","Roading",2
2014,"Tasman District Council","Interest expenditure","Roading",1672
2014,"Tasman District Council","Purchases and other operating expenditure","Roading",8651
2013,"Tasman District Council","Rates","Roading",8939
2013,"Tasman District Council","Regulatory income and petrol tax","Roading",340
2013,"Tasman District Council","Current grants, subsidies, and donations income","Roading",4581
2013,"Tasman District Council","Interest income","Roading",0
2013,"Tasman District Council","Dividend income","Roading",0
2013,"Tasman District Council","Sales and other operating income","Roading",393
2013,"Tasman District Council","Employee costs","Roading",608
2013,"Tasman District Council","Depreciation and amortisation","Roading",8269
2013,"Tasman District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Tasman District Council","Interest expenditure","Roading",1525
2013,"Tasman District Council","Purchases and other operating expenditure","Roading",9946
2012,"Tasman District Council","Rates","Roading",9025
2012,"Tasman District Council","Regulatory income and petrol tax","Roading",327
2012,"Tasman District Council","Current grants, subsidies, and donations income","Roading",6415
2012,"Tasman District Council","Interest income","Roading",0
2012,"Tasman District Council","Dividend income","Roading",0
2012,"Tasman District Council","Sales and other operating income","Roading",2042
2012,"Tasman District Council","Employee costs","Roading",658
2012,"Tasman District Council","Depreciation and amortisation","Roading",9791
2012,"Tasman District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Tasman District Council","Interest expenditure","Roading",1359
2012,"Tasman District Council","Purchases and other operating expenditure","Roading",9466
2011,"Tasman District Council","Rates","Roading",8432
2011,"Tasman District Council","Regulatory income and petrol tax","Roading",345
2011,"Tasman District Council","Current grants, subsidies, and donations income","Roading",4218
2011,"Tasman District Council","Interest income","Roading",0
2011,"Tasman District Council","Dividend income","Roading",0
2011,"Tasman District Council","Sales and other operating income","Roading",876
2011,"Tasman District Council","Employee costs","Roading",660
2011,"Tasman District Council","Depreciation and amortisation","Roading",7135
2011,"Tasman District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Tasman District Council","Interest expenditure","Roading",1228
2011,"Tasman District Council","Purchases and other operating expenditure","Roading",9456
2010,"Tasman District Council","Rates","Roading",7976
2010,"Tasman District Council","Regulatory income and petrol tax","Roading",341
2010,"Tasman District Council","Current grants, subsidies, and donations income","Roading",7461
2010,"Tasman District Council","Interest income","Roading",0
2010,"Tasman District Council","Dividend income","Roading",0
2010,"Tasman District Council","Sales and other operating income","Roading",385
2010,"Tasman District Council","Employee costs","Roading",607
2010,"Tasman District Council","Depreciation and amortisation","Roading",7250
2010,"Tasman District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Tasman District Council","Interest expenditure","Roading",1076
2010,"Tasman District Council","Purchases and other operating expenditure","Roading",8530
2009,"Tasman District Council","Rates","Roading",8317
2009,"Tasman District Council","Regulatory income and petrol tax","Roading",340
2009,"Tasman District Council","Current grants, subsidies, and donations income","Roading",3786
2009,"Tasman District Council","Interest income","Roading",0
2009,"Tasman District Council","Dividend income","Roading",0
2009,"Tasman District Council","Sales and other operating income","Roading",746
2009,"Tasman District Council","Employee costs","Roading",421
2009,"Tasman District Council","Depreciation and amortisation","Roading",6876
2009,"Tasman District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Tasman District Council","Interest expenditure","Roading",972
2009,"Tasman District Council","Purchases and other operating expenditure","Roading",8472
2014,"Tasman District Council","Rates","Transportation",28
2014,"Tasman District Council","Regulatory income and petrol tax","Transportation",66
2014,"Tasman District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Tasman District Council","Interest income","Transportation",0
2014,"Tasman District Council","Dividend income","Transportation",0
2014,"Tasman District Council","Sales and other operating income","Transportation",93
2014,"Tasman District Council","Employee costs","Transportation",8
2014,"Tasman District Council","Depreciation and amortisation","Transportation",63
2014,"Tasman District Council","Current grants, subsidies, and donations expenditure","Transportation",14
2014,"Tasman District Council","Interest expenditure","Transportation",4
2014,"Tasman District Council","Purchases and other operating expenditure","Transportation",150
2013,"Tasman District Council","Rates","Transportation",58
2013,"Tasman District Council","Regulatory income and petrol tax","Transportation",64
2013,"Tasman District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Tasman District Council","Interest income","Transportation",0
2013,"Tasman District Council","Dividend income","Transportation",0
2013,"Tasman District Council","Sales and other operating income","Transportation",103
2013,"Tasman District Council","Employee costs","Transportation",10
2013,"Tasman District Council","Depreciation and amortisation","Transportation",67
2013,"Tasman District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Tasman District Council","Interest expenditure","Transportation",4
2013,"Tasman District Council","Purchases and other operating expenditure","Transportation",135
2012,"Tasman District Council","Rates","Transportation",28
2012,"Tasman District Council","Regulatory income and petrol tax","Transportation",57
2012,"Tasman District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Tasman District Council","Interest income","Transportation",0
2012,"Tasman District Council","Dividend income","Transportation",0
2012,"Tasman District Council","Sales and other operating income","Transportation",98
2012,"Tasman District Council","Employee costs","Transportation",15
2012,"Tasman District Council","Depreciation and amortisation","Transportation",91
2012,"Tasman District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Tasman District Council","Interest expenditure","Transportation",5
2012,"Tasman District Council","Purchases and other operating expenditure","Transportation",143
2011,"Tasman District Council","Rates","Transportation",13
2011,"Tasman District Council","Regulatory income and petrol tax","Transportation",48
2011,"Tasman District Council","Current grants, subsidies, and donations income","Transportation",0
