"year","council","income","activity","val"
2014,"Taupo District Council","Rates","Roading",7248
2014,"Taupo District Council","Regulatory income and petrol tax","Roading",375
2014,"Taupo District Council","Current grants, subsidies, and donations income","Roading",1266
2014,"Taupo District Council","Interest income","Roading",0
2014,"Taupo District Council","Dividend income","Roading",0
2014,"Taupo District Council","Sales and other operating income","Roading",167
2014,"Taupo District Council","Employee costs","Roading",278
2014,"Taupo District Council","Depreciation and amortisation","Roading",6639
2014,"Taupo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Taupo District Council","Interest expenditure","Roading",2219
2014,"Taupo District Council","Purchases and other operating expenditure","Roading",3109
2013,"Taupo District Council","Rates","Roading",8037
2013,"Taupo District Council","Regulatory income and petrol tax","Roading",347
2013,"Taupo District Council","Current grants, subsidies, and donations income","Roading",1350
2013,"Taupo District Council","Interest income","Roading",0
2013,"Taupo District Council","Dividend income","Roading",0
2013,"Taupo District Council","Sales and other operating income","Roading",255
2013,"Taupo District Council","Employee costs","Roading",377
2013,"Taupo District Council","Depreciation and amortisation","Roading",7338
2013,"Taupo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Taupo District Council","Interest expenditure","Roading",2598
2013,"Taupo District Council","Purchases and other operating expenditure","Roading",3348
2012,"Taupo District Council","Rates","Roading",6762
2012,"Taupo District Council","Regulatory income and petrol tax","Roading",364
2012,"Taupo District Council","Current grants, subsidies, and donations income","Roading",1425
2012,"Taupo District Council","Interest income","Roading",0
2012,"Taupo District Council","Dividend income","Roading",0
2012,"Taupo District Council","Sales and other operating income","Roading",145
2012,"Taupo District Council","Employee costs","Roading",347
2012,"Taupo District Council","Depreciation and amortisation","Roading",7339
2012,"Taupo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Taupo District Council","Interest expenditure","Roading",2537
2012,"Taupo District Council","Purchases and other operating expenditure","Roading",3203
2011,"Taupo District Council","Rates","Roading",6457
2011,"Taupo District Council","Regulatory income and petrol tax","Roading",365
2011,"Taupo District Council","Current grants, subsidies, and donations income","Roading",1721
2011,"Taupo District Council","Interest income","Roading",0
2011,"Taupo District Council","Dividend income","Roading",0
2011,"Taupo District Council","Sales and other operating income","Roading",157
2011,"Taupo District Council","Employee costs","Roading",336
2011,"Taupo District Council","Depreciation and amortisation","Roading",6263
2011,"Taupo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Taupo District Council","Interest expenditure","Roading",3159
2011,"Taupo District Council","Purchases and other operating expenditure","Roading",3170
2010,"Taupo District Council","Rates","Roading",6021
2010,"Taupo District Council","Regulatory income and petrol tax","Roading",372
2010,"Taupo District Council","Current grants, subsidies, and donations income","Roading",3186
2010,"Taupo District Council","Interest income","Roading",0
2010,"Taupo District Council","Dividend income","Roading",0
2010,"Taupo District Council","Sales and other operating income","Roading",135
2010,"Taupo District Council","Employee costs","Roading",298
2010,"Taupo District Council","Depreciation and amortisation","Roading",4818
2010,"Taupo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Taupo District Council","Interest expenditure","Roading",1878
2010,"Taupo District Council","Purchases and other operating expenditure","Roading",4029
2009,"Taupo District Council","Rates","Roading",6575
2009,"Taupo District Council","Regulatory income and petrol tax","Roading",376
2009,"Taupo District Council","Current grants, subsidies, and donations income","Roading",2658
2009,"Taupo District Council","Interest income","Roading",0
2009,"Taupo District Council","Dividend income","Roading",0
2009,"Taupo District Council","Sales and other operating income","Roading",256
2009,"Taupo District Council","Employee costs","Roading",444
2009,"Taupo District Council","Depreciation and amortisation","Roading",4811
2009,"Taupo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Taupo District Council","Interest expenditure","Roading",1343
2009,"Taupo District Council","Purchases and other operating expenditure","Roading",3816
2014,"Taupo District Council","Rates","Transportation",140
2014,"Taupo District Council","Regulatory income and petrol tax","Transportation",355
2014,"Taupo District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Taupo District Council","Interest income","Transportation",0
2014,"Taupo District Council","Dividend income","Transportation",0
2014,"Taupo District Council","Sales and other operating income","Transportation",0
2014,"Taupo District Council","Employee costs","Transportation",63
2014,"Taupo District Council","Depreciation and amortisation","Transportation",40
2014,"Taupo District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Taupo District Council","Interest expenditure","Transportation",16
2014,"Taupo District Council","Purchases and other operating expenditure","Transportation",94
2013,"Taupo District Council","Rates","Transportation",172
2013,"Taupo District Council","Regulatory income and petrol tax","Transportation",326
2013,"Taupo District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Taupo District Council","Interest income","Transportation",0
2013,"Taupo District Council","Dividend income","Transportation",0
2013,"Taupo District Council","Sales and other operating income","Transportation",0
2013,"Taupo District Council","Employee costs","Transportation",57
2013,"Taupo District Council","Depreciation and amortisation","Transportation",39
2013,"Taupo District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Taupo District Council","Interest expenditure","Transportation",18
2013,"Taupo District Council","Purchases and other operating expenditure","Transportation",114
2012,"Taupo District Council","Rates","Transportation",132
2012,"Taupo District Council","Regulatory income and petrol tax","Transportation",290
2012,"Taupo District Council","Current grants, subsidies, and donations income","Transportation",0
