"year","council","income","activity","val"
2014,"Tauranga City Council","Rates","Roading",17032
2014,"Tauranga City Council","Regulatory income and petrol tax","Roading",843
2014,"Tauranga City Council","Current grants, subsidies, and donations income","Roading",5996
2014,"Tauranga City Council","Interest income","Roading",0
2014,"Tauranga City Council","Dividend income","Roading",0
2014,"Tauranga City Council","Sales and other operating income","Roading",3765
2014,"Tauranga City Council","Employee costs","Roading",860
2014,"Tauranga City Council","Depreciation and amortisation","Roading",10290
2014,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Tauranga City Council","Interest expenditure","Roading",0
2014,"Tauranga City Council","Purchases and other operating expenditure","Roading",12607
2013,"Tauranga City Council","Rates","Roading",16309
2013,"Tauranga City Council","Regulatory income and petrol tax","Roading",826
2013,"Tauranga City Council","Current grants, subsidies, and donations income","Roading",2850
2013,"Tauranga City Council","Interest income","Roading",0
2013,"Tauranga City Council","Dividend income","Roading",0
2013,"Tauranga City Council","Sales and other operating income","Roading",3580
2013,"Tauranga City Council","Employee costs","Roading",1264
2013,"Tauranga City Council","Depreciation and amortisation","Roading",10266
2013,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Tauranga City Council","Interest expenditure","Roading",0
2013,"Tauranga City Council","Purchases and other operating expenditure","Roading",8885
2012,"Tauranga City Council","Rates","Roading",14708
2012,"Tauranga City Council","Regulatory income and petrol tax","Roading",834
2012,"Tauranga City Council","Current grants, subsidies, and donations income","Roading",3231
2012,"Tauranga City Council","Interest income","Roading",0
2012,"Tauranga City Council","Dividend income","Roading",0
2012,"Tauranga City Council","Sales and other operating income","Roading",2763
2012,"Tauranga City Council","Employee costs","Roading",1148
2012,"Tauranga City Council","Depreciation and amortisation","Roading",8372
2012,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Tauranga City Council","Interest expenditure","Roading",0
2012,"Tauranga City Council","Purchases and other operating expenditure","Roading",4514
2011,"Tauranga City Council","Rates","Roading",14343
2011,"Tauranga City Council","Regulatory income and petrol tax","Roading",811
2011,"Tauranga City Council","Current grants, subsidies, and donations income","Roading",2970
2011,"Tauranga City Council","Interest income","Roading",0
2011,"Tauranga City Council","Dividend income","Roading",0
2011,"Tauranga City Council","Sales and other operating income","Roading",2297
2011,"Tauranga City Council","Employee costs","Roading",980
2011,"Tauranga City Council","Depreciation and amortisation","Roading",7894
2011,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Tauranga City Council","Interest expenditure","Roading",0
2011,"Tauranga City Council","Purchases and other operating expenditure","Roading",8753
2010,"Tauranga City Council","Rates","Roading",11977
2010,"Tauranga City Council","Regulatory income and petrol tax","Roading",792
2010,"Tauranga City Council","Current grants, subsidies, and donations income","Roading",3293
2010,"Tauranga City Council","Interest income","Roading",0
2010,"Tauranga City Council","Dividend income","Roading",0
2010,"Tauranga City Council","Sales and other operating income","Roading",1961
2010,"Tauranga City Council","Employee costs","Roading",977
2010,"Tauranga City Council","Depreciation and amortisation","Roading",7572
2010,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Tauranga City Council","Interest expenditure","Roading",0
2010,"Tauranga City Council","Purchases and other operating expenditure","Roading",8838
2009,"Tauranga City Council","Rates","Roading",11070
2009,"Tauranga City Council","Regulatory income and petrol tax","Roading",782
2009,"Tauranga City Council","Current grants, subsidies, and donations income","Roading",3186
2009,"Tauranga City Council","Interest income","Roading",0
2009,"Tauranga City Council","Dividend income","Roading",0
2009,"Tauranga City Council","Sales and other operating income","Roading",2195
2009,"Tauranga City Council","Employee costs","Roading",639
2009,"Tauranga City Council","Depreciation and amortisation","Roading",5959
2009,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Tauranga City Council","Interest expenditure","Roading",0
2009,"Tauranga City Council","Purchases and other operating expenditure","Roading",9036
2014,"Tauranga City Council","Rates","Transportation",0
2014,"Tauranga City Council","Regulatory income and petrol tax","Transportation",513
2014,"Tauranga City Council","Current grants, subsidies, and donations income","Transportation",16
2014,"Tauranga City Council","Interest income","Transportation",0
2014,"Tauranga City Council","Dividend income","Transportation",0
2014,"Tauranga City Council","Sales and other operating income","Transportation",8117
2014,"Tauranga City Council","Employee costs","Transportation",797
2014,"Tauranga City Council","Depreciation and amortisation","Transportation",1422
2014,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Tauranga City Council","Interest expenditure","Transportation",0
2014,"Tauranga City Council","Purchases and other operating expenditure","Transportation",1149
2013,"Tauranga City Council","Rates","Transportation",0
2013,"Tauranga City Council","Regulatory income and petrol tax","Transportation",0
2013,"Tauranga City Council","Current grants, subsidies, and donations income","Transportation",13
2013,"Tauranga City Council","Interest income","Transportation",0
2013,"Tauranga City Council","Dividend income","Transportation",0
2013,"Tauranga City Council","Sales and other operating income","Transportation",8210
2013,"Tauranga City Council","Employee costs","Transportation",350
2013,"Tauranga City Council","Depreciation and amortisation","Transportation",1414
2013,"Tauranga City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Tauranga City Council","Interest expenditure","Transportation",0
2013,"Tauranga City Council","Purchases and other operating expenditure","Transportation",3703
2012,"Tauranga City Council","Rates","Transportation",0
2012,"Tauranga City Council","Regulatory income and petrol tax","Transportation",0
2012,"Tauranga City Council","Current grants, subsidies, and donations income","Transportation",17
2012,"Tauranga City Council","Interest income","Transportation",0
2012,"Tauranga City Council","Dividend income","Transportation",0
2012,"Tauranga City Council","Sales and other operating income","Transportation",7565
2012,"Tauranga City Council","Employee costs","Transportation",348
