"year","council","income","activity","val"
2014,"Thames-Coromandel District Council","Rates","Roading",3796
2014,"Thames-Coromandel District Council","Regulatory income and petrol tax","Roading",386
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Roading",801
2014,"Thames-Coromandel District Council","Interest income","Roading",0
2014,"Thames-Coromandel District Council","Dividend income","Roading",0
2014,"Thames-Coromandel District Council","Sales and other operating income","Roading",235
2014,"Thames-Coromandel District Council","Employee costs","Roading",0
2014,"Thames-Coromandel District Council","Depreciation and amortisation","Roading",5987
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Thames-Coromandel District Council","Interest expenditure","Roading",153
2014,"Thames-Coromandel District Council","Purchases and other operating expenditure","Roading",6258
2013,"Thames-Coromandel District Council","Rates","Roading",3521
2013,"Thames-Coromandel District Council","Regulatory income and petrol tax","Roading",450
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Roading",4976
2013,"Thames-Coromandel District Council","Interest income","Roading",0
2013,"Thames-Coromandel District Council","Dividend income","Roading",0
2013,"Thames-Coromandel District Council","Sales and other operating income","Roading",237
2013,"Thames-Coromandel District Council","Employee costs","Roading",0
2013,"Thames-Coromandel District Council","Depreciation and amortisation","Roading",5912
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Thames-Coromandel District Council","Interest expenditure","Roading",223
2013,"Thames-Coromandel District Council","Purchases and other operating expenditure","Roading",5994
2012,"Thames-Coromandel District Council","Rates","Roading",3956
2012,"Thames-Coromandel District Council","Regulatory income and petrol tax","Roading",473
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Roading",5604
2012,"Thames-Coromandel District Council","Interest income","Roading",0
2012,"Thames-Coromandel District Council","Dividend income","Roading",0
2012,"Thames-Coromandel District Council","Sales and other operating income","Roading",482
2012,"Thames-Coromandel District Council","Employee costs","Roading",0
2012,"Thames-Coromandel District Council","Depreciation and amortisation","Roading",5695
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Thames-Coromandel District Council","Interest expenditure","Roading",208
2012,"Thames-Coromandel District Council","Purchases and other operating expenditure","Roading",7676
2011,"Thames-Coromandel District Council","Rates","Roading",3498
2011,"Thames-Coromandel District Council","Regulatory income and petrol tax","Roading",502
2011,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Roading",5539
2011,"Thames-Coromandel District Council","Interest income","Roading",0
2011,"Thames-Coromandel District Council","Dividend income","Roading",0
2011,"Thames-Coromandel District Council","Sales and other operating income","Roading",201
2011,"Thames-Coromandel District Council","Employee costs","Roading",0
2011,"Thames-Coromandel District Council","Depreciation and amortisation","Roading",5387
2011,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Thames-Coromandel District Council","Interest expenditure","Roading",183
2011,"Thames-Coromandel District Council","Purchases and other operating expenditure","Roading",6866
2010,"Thames-Coromandel District Council","Rates","Roading",3398
2010,"Thames-Coromandel District Council","Regulatory income and petrol tax","Roading",488
2010,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Roading",5383
2010,"Thames-Coromandel District Council","Interest income","Roading",0
2010,"Thames-Coromandel District Council","Dividend income","Roading",0
2010,"Thames-Coromandel District Council","Sales and other operating income","Roading",179
2010,"Thames-Coromandel District Council","Employee costs","Roading",0
2010,"Thames-Coromandel District Council","Depreciation and amortisation","Roading",5204
2010,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Thames-Coromandel District Council","Interest expenditure","Roading",173
2010,"Thames-Coromandel District Council","Purchases and other operating expenditure","Roading",6301
2009,"Thames-Coromandel District Council","Rates","Roading",3381
2009,"Thames-Coromandel District Council","Regulatory income and petrol tax","Roading",459
2009,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Roading",6126
2009,"Thames-Coromandel District Council","Interest income","Roading",0
2009,"Thames-Coromandel District Council","Dividend income","Roading",0
2009,"Thames-Coromandel District Council","Sales and other operating income","Roading",4
2009,"Thames-Coromandel District Council","Employee costs","Roading",0
2009,"Thames-Coromandel District Council","Depreciation and amortisation","Roading",4659
2009,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Thames-Coromandel District Council","Interest expenditure","Roading",152
2009,"Thames-Coromandel District Council","Purchases and other operating expenditure","Roading",6605
2014,"Thames-Coromandel District Council","Rates","Transportation",0
2014,"Thames-Coromandel District Council","Regulatory income and petrol tax","Transportation",0
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Thames-Coromandel District Council","Interest income","Transportation",0
2014,"Thames-Coromandel District Council","Dividend income","Transportation",0
2014,"Thames-Coromandel District Council","Sales and other operating income","Transportation",0
2014,"Thames-Coromandel District Council","Employee costs","Transportation",0
2014,"Thames-Coromandel District Council","Depreciation and amortisation","Transportation",0
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Thames-Coromandel District Council","Interest expenditure","Transportation",0
2014,"Thames-Coromandel District Council","Purchases and other operating expenditure","Transportation",0
2013,"Thames-Coromandel District Council","Rates","Transportation",0
2013,"Thames-Coromandel District Council","Regulatory income and petrol tax","Transportation",0
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Thames-Coromandel District Council","Interest income","Transportation",0
2013,"Thames-Coromandel District Council","Dividend income","Transportation",0
2013,"Thames-Coromandel District Council","Sales and other operating income","Transportation",0
2013,"Thames-Coromandel District Council","Employee costs","Transportation",0
2013,"Thames-Coromandel District Council","Depreciation and amortisation","Transportation",0
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Thames-Coromandel District Council","Interest expenditure","Transportation",0
2013,"Thames-Coromandel District Council","Purchases and other operating expenditure","Transportation",0
2012,"Thames-Coromandel District Council","Rates","Transportation",0
2012,"Thames-Coromandel District Council","Regulatory income and petrol tax","Transportation",0
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Thames-Coromandel District Council","Interest income","Transportation",0
2012,"Thames-Coromandel District Council","Dividend income","Transportation",0
2012,"Thames-Coromandel District Council","Sales and other operating income","Transportation",0
2012,"Thames-Coromandel District Council","Employee costs","Transportation",0
2012,"Thames-Coromandel District Council","Depreciation and amortisation","Transportation",0
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Thames-Coromandel District Council","Interest expenditure","Transportation",0
2012,"Thames-Coromandel District Council","Purchases and other operating expenditure","Transportation",0
2011,"Thames-Coromandel District Council","Rates","Transportation",0
2011,"Thames-Coromandel District Council","Regulatory income and petrol tax","Transportation",0
2011,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Thames-Coromandel District Council","Interest income","Transportation",0
2011,"Thames-Coromandel District Council","Dividend income","Transportation",0
2011,"Thames-Coromandel District Council","Sales and other operating income","Transportation",0
2011,"Thames-Coromandel District Council","Employee costs","Transportation",0
2011,"Thames-Coromandel District Council","Depreciation and amortisation","Transportation",0
2011,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Thames-Coromandel District Council","Interest expenditure","Transportation",0
2011,"Thames-Coromandel District Council","Purchases and other operating expenditure","Transportation",0
2010,"Thames-Coromandel District Council","Rates","Transportation",0
2010,"Thames-Coromandel District Council","Regulatory income and petrol tax","Transportation",0
2010,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Thames-Coromandel District Council","Interest income","Transportation",0
2010,"Thames-Coromandel District Council","Dividend income","Transportation",0
2010,"Thames-Coromandel District Council","Sales and other operating income","Transportation",0
2010,"Thames-Coromandel District Council","Employee costs","Transportation",0
2010,"Thames-Coromandel District Council","Depreciation and amortisation","Transportation",0
2010,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Thames-Coromandel District Council","Interest expenditure","Transportation",0
2010,"Thames-Coromandel District Council","Purchases and other operating expenditure","Transportation",0
2009,"Thames-Coromandel District Council","Rates","Transportation",0
2009,"Thames-Coromandel District Council","Regulatory income and petrol tax","Transportation",0
2009,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Thames-Coromandel District Council","Interest income","Transportation",0
2009,"Thames-Coromandel District Council","Dividend income","Transportation",0
2009,"Thames-Coromandel District Council","Sales and other operating income","Transportation",0
2009,"Thames-Coromandel District Council","Employee costs","Transportation",0
2009,"Thames-Coromandel District Council","Depreciation and amortisation","Transportation",0
2009,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Thames-Coromandel District Council","Interest expenditure","Transportation",0
2009,"Thames-Coromandel District Council","Purchases and other operating expenditure","Transportation",0
2014,"Thames-Coromandel District Council","Rates","Water supply",7233
2014,"Thames-Coromandel District Council","Regulatory income and petrol tax","Water supply",0
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Thames-Coromandel District Council","Interest income","Water supply",0
2014,"Thames-Coromandel District Council","Dividend income","Water supply",0
2014,"Thames-Coromandel District Council","Sales and other operating income","Water supply",1229
2014,"Thames-Coromandel District Council","Employee costs","Water supply",0
2014,"Thames-Coromandel District Council","Depreciation and amortisation","Water supply",2860
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Thames-Coromandel District Council","Interest expenditure","Water supply",341
2014,"Thames-Coromandel District Council","Purchases and other operating expenditure","Water supply",4858
2013,"Thames-Coromandel District Council","Rates","Water supply",7120
2013,"Thames-Coromandel District Council","Regulatory income and petrol tax","Water supply",0
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Thames-Coromandel District Council","Interest income","Water supply",0
2013,"Thames-Coromandel District Council","Dividend income","Water supply",0
2013,"Thames-Coromandel District Council","Sales and other operating income","Water supply",1270
2013,"Thames-Coromandel District Council","Employee costs","Water supply",0
2013,"Thames-Coromandel District Council","Depreciation and amortisation","Water supply",2565
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Thames-Coromandel District Council","Interest expenditure","Water supply",407
2013,"Thames-Coromandel District Council","Purchases and other operating expenditure","Water supply",4199
2012,"Thames-Coromandel District Council","Rates","Water supply",6485
2012,"Thames-Coromandel District Council","Regulatory income and petrol tax","Water supply",0
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Thames-Coromandel District Council","Interest income","Water supply",0
2012,"Thames-Coromandel District Council","Dividend income","Water supply",0
2012,"Thames-Coromandel District Council","Sales and other operating income","Water supply",1183
2012,"Thames-Coromandel District Council","Employee costs","Water supply",0
2012,"Thames-Coromandel District Council","Depreciation and amortisation","Water supply",2517
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Thames-Coromandel District Council","Interest expenditure","Water supply",389
2012,"Thames-Coromandel District Council","Purchases and other operating expenditure","Water supply",3345
2011,"Thames-Coromandel District Council","Rates","Water supply",6449
2011,"Thames-Coromandel District Council","Regulatory income and petrol tax","Water supply",0
2011,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Thames-Coromandel District Council","Interest income","Water supply",0
2011,"Thames-Coromandel District Council","Dividend income","Water supply",0
2011,"Thames-Coromandel District Council","Sales and other operating income","Water supply",1217
2011,"Thames-Coromandel District Council","Employee costs","Water supply",0
2011,"Thames-Coromandel District Council","Depreciation and amortisation","Water supply",2292
2011,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Thames-Coromandel District Council","Interest expenditure","Water supply",364
2011,"Thames-Coromandel District Council","Purchases and other operating expenditure","Water supply",3430
2010,"Thames-Coromandel District Council","Rates","Water supply",5755
2010,"Thames-Coromandel District Council","Regulatory income and petrol tax","Water supply",0
2010,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Thames-Coromandel District Council","Interest income","Water supply",0
2010,"Thames-Coromandel District Council","Dividend income","Water supply",0
2010,"Thames-Coromandel District Council","Sales and other operating income","Water supply",1255
2010,"Thames-Coromandel District Council","Employee costs","Water supply",0
2010,"Thames-Coromandel District Council","Depreciation and amortisation","Water supply",2325
2010,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2010,"Thames-Coromandel District Council","Interest expenditure","Water supply",479
2010,"Thames-Coromandel District Council","Purchases and other operating expenditure","Water supply",3256
2009,"Thames-Coromandel District Council","Rates","Water supply",5665
2009,"Thames-Coromandel District Council","Regulatory income and petrol tax","Water supply",0
2009,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Water supply",0
2009,"Thames-Coromandel District Council","Interest income","Water supply",0
2009,"Thames-Coromandel District Council","Dividend income","Water supply",0
2009,"Thames-Coromandel District Council","Sales and other operating income","Water supply",1416
2009,"Thames-Coromandel District Council","Employee costs","Water supply",0
2009,"Thames-Coromandel District Council","Depreciation and amortisation","Water supply",2179
2009,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Water supply",0
2009,"Thames-Coromandel District Council","Interest expenditure","Water supply",469
2009,"Thames-Coromandel District Council","Purchases and other operating expenditure","Water supply",2972
2014,"Thames-Coromandel District Council","Rates","Wastewater",16864
2014,"Thames-Coromandel District Council","Regulatory income and petrol tax","Wastewater",0
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Wastewater",0
2014,"Thames-Coromandel District Council","Interest income","Wastewater",0
2014,"Thames-Coromandel District Council","Dividend income","Wastewater",0
2014,"Thames-Coromandel District Council","Sales and other operating income","Wastewater",113
2014,"Thames-Coromandel District Council","Employee costs","Wastewater",0
2014,"Thames-Coromandel District Council","Depreciation and amortisation","Wastewater",6195
2014,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2014,"Thames-Coromandel District Council","Interest expenditure","Wastewater",1994
2014,"Thames-Coromandel District Council","Purchases and other operating expenditure","Wastewater",6349
2013,"Thames-Coromandel District Council","Rates","Wastewater",16932
2013,"Thames-Coromandel District Council","Regulatory income and petrol tax","Wastewater",0
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Wastewater",0
2013,"Thames-Coromandel District Council","Interest income","Wastewater",0
2013,"Thames-Coromandel District Council","Dividend income","Wastewater",0
2013,"Thames-Coromandel District Council","Sales and other operating income","Wastewater",0
2013,"Thames-Coromandel District Council","Employee costs","Wastewater",0
2013,"Thames-Coromandel District Council","Depreciation and amortisation","Wastewater",5928
2013,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2013,"Thames-Coromandel District Council","Interest expenditure","Wastewater",2347
2013,"Thames-Coromandel District Council","Purchases and other operating expenditure","Wastewater",6397
2012,"Thames-Coromandel District Council","Rates","Wastewater",18606
2012,"Thames-Coromandel District Council","Regulatory income and petrol tax","Wastewater",0
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Wastewater",0
2012,"Thames-Coromandel District Council","Interest income","Wastewater",0
2012,"Thames-Coromandel District Council","Dividend income","Wastewater",0
2012,"Thames-Coromandel District Council","Sales and other operating income","Wastewater",39
2012,"Thames-Coromandel District Council","Employee costs","Wastewater",0
2012,"Thames-Coromandel District Council","Depreciation and amortisation","Wastewater",5551
2012,"Thames-Coromandel District Council","Current grants, subsidies, and donations expenditure","Wastewater",0
2012,"Thames-Coromandel District Council","Interest expenditure","Wastewater",2274
2012,"Thames-Coromandel District Council","Purchases and other operating expenditure","Wastewater",7472
2011,"Thames-Coromandel District Council","Rates","Wastewater",19860
2011,"Thames-Coromandel District Council","Regulatory income and petrol tax","Wastewater",0
2011,"Thames-Coromandel District Council","Current grants, subsidies, and donations income","Wastewater",0
2011,"Thames-Coromandel District Council","Interest income","Wastewater",0
2011,"Thames-Coromandel District Council","Dividend income","Wastewater",0
2011,"Thames-Coromandel District Council","Sales and other operating income","Wastewater",898
2011,"Thames-Coromandel District Council","Employee costs","Wastewater",0
2011,"Thames-Coromandel District Council","Depreciation and amortisation","Wastewater",5647
