"year","council","income","activity","val"
2014,"Timaru District Council","Rates","Roading",0
2014,"Timaru District Council","Regulatory income and petrol tax","Roading",479
2014,"Timaru District Council","Current grants, subsidies, and donations income","Roading",7887
2014,"Timaru District Council","Interest income","Roading",0
2014,"Timaru District Council","Dividend income","Roading",0
2014,"Timaru District Council","Sales and other operating income","Roading",311
2014,"Timaru District Council","Employee costs","Roading",939
2014,"Timaru District Council","Depreciation and amortisation","Roading",4581
2014,"Timaru District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Timaru District Council","Interest expenditure","Roading",328
2014,"Timaru District Council","Purchases and other operating expenditure","Roading",6100
2013,"Timaru District Council","Rates","Roading",0
2013,"Timaru District Council","Regulatory income and petrol tax","Roading",467
2013,"Timaru District Council","Current grants, subsidies, and donations income","Roading",7270
2013,"Timaru District Council","Interest income","Roading",0
2013,"Timaru District Council","Dividend income","Roading",0
2013,"Timaru District Council","Sales and other operating income","Roading",277
2013,"Timaru District Council","Employee costs","Roading",873
2013,"Timaru District Council","Depreciation and amortisation","Roading",4457
2013,"Timaru District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Timaru District Council","Interest expenditure","Roading",304
2013,"Timaru District Council","Purchases and other operating expenditure","Roading",6589
2012,"Timaru District Council","Rates","Roading",0
2012,"Timaru District Council","Regulatory income and petrol tax","Roading",444
2012,"Timaru District Council","Current grants, subsidies, and donations income","Roading",7082
2012,"Timaru District Council","Interest income","Roading",0
2012,"Timaru District Council","Dividend income","Roading",0
2012,"Timaru District Council","Sales and other operating income","Roading",71
2012,"Timaru District Council","Employee costs","Roading",891
2012,"Timaru District Council","Depreciation and amortisation","Roading",5105
2012,"Timaru District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Timaru District Council","Interest expenditure","Roading",252
2012,"Timaru District Council","Purchases and other operating expenditure","Roading",5435
2011,"Timaru District Council","Rates","Roading",0
2011,"Timaru District Council","Regulatory income and petrol tax","Roading",431
2011,"Timaru District Council","Current grants, subsidies, and donations income","Roading",6119
2011,"Timaru District Council","Interest income","Roading",0
2011,"Timaru District Council","Dividend income","Roading",0
2011,"Timaru District Council","Sales and other operating income","Roading",67
2011,"Timaru District Council","Employee costs","Roading",881
2011,"Timaru District Council","Depreciation and amortisation","Roading",6501
2011,"Timaru District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Timaru District Council","Interest expenditure","Roading",262
2011,"Timaru District Council","Purchases and other operating expenditure","Roading",5396
2010,"Timaru District Council","Rates","Roading",0
2010,"Timaru District Council","Regulatory income and petrol tax","Roading",416
2010,"Timaru District Council","Current grants, subsidies, and donations income","Roading",6276
2010,"Timaru District Council","Interest income","Roading",0
2010,"Timaru District Council","Dividend income","Roading",0
2010,"Timaru District Council","Sales and other operating income","Roading",694
2010,"Timaru District Council","Employee costs","Roading",826
2010,"Timaru District Council","Depreciation and amortisation","Roading",6955
2010,"Timaru District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Timaru District Council","Interest expenditure","Roading",159
2010,"Timaru District Council","Purchases and other operating expenditure","Roading",5573
2009,"Timaru District Council","Rates","Roading",0
2009,"Timaru District Council","Regulatory income and petrol tax","Roading",434
2009,"Timaru District Council","Current grants, subsidies, and donations income","Roading",5757
2009,"Timaru District Council","Interest income","Roading",0
2009,"Timaru District Council","Dividend income","Roading",0
2009,"Timaru District Council","Sales and other operating income","Roading",195
2009,"Timaru District Council","Employee costs","Roading",794
2009,"Timaru District Council","Depreciation and amortisation","Roading",6833
2009,"Timaru District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Timaru District Council","Interest expenditure","Roading",232
2009,"Timaru District Council","Purchases and other operating expenditure","Roading",6191
2014,"Timaru District Council","Rates","Transportation",0
2014,"Timaru District Council","Regulatory income and petrol tax","Transportation",835
2014,"Timaru District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Timaru District Council","Interest income","Transportation",0
2014,"Timaru District Council","Dividend income","Transportation",0
2014,"Timaru District Council","Sales and other operating income","Transportation",305
2014,"Timaru District Council","Employee costs","Transportation",170
2014,"Timaru District Council","Depreciation and amortisation","Transportation",180
2014,"Timaru District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Timaru District Council","Interest expenditure","Transportation",260
