"year","council","income","activity","val"
2014,"Upper Hutt City Council","Rates","Roading",5182
2014,"Upper Hutt City Council","Regulatory income and petrol tax","Roading",138
2014,"Upper Hutt City Council","Current grants, subsidies, and donations income","Roading",2026
2014,"Upper Hutt City Council","Interest income","Roading",0
2014,"Upper Hutt City Council","Dividend income","Roading",0
2014,"Upper Hutt City Council","Sales and other operating income","Roading",31
2014,"Upper Hutt City Council","Employee costs","Roading",150
2014,"Upper Hutt City Council","Depreciation and amortisation","Roading",4117
2014,"Upper Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Upper Hutt City Council","Interest expenditure","Roading",271
2014,"Upper Hutt City Council","Purchases and other operating expenditure","Roading",2300
2013,"Upper Hutt City Council","Rates","Roading",4699
2013,"Upper Hutt City Council","Regulatory income and petrol tax","Roading",137
2013,"Upper Hutt City Council","Current grants, subsidies, and donations income","Roading",1829
2013,"Upper Hutt City Council","Interest income","Roading",0
2013,"Upper Hutt City Council","Dividend income","Roading",0
2013,"Upper Hutt City Council","Sales and other operating income","Roading",77
2013,"Upper Hutt City Council","Employee costs","Roading",634
2013,"Upper Hutt City Council","Depreciation and amortisation","Roading",4096
2013,"Upper Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",1384
2013,"Upper Hutt City Council","Interest expenditure","Roading",329
2013,"Upper Hutt City Council","Purchases and other operating expenditure","Roading",1298
2012,"Upper Hutt City Council","Rates","Roading",4517
2012,"Upper Hutt City Council","Regulatory income and petrol tax","Roading",142
2012,"Upper Hutt City Council","Current grants, subsidies, and donations income","Roading",3873
2012,"Upper Hutt City Council","Interest income","Roading",0
2012,"Upper Hutt City Council","Dividend income","Roading",0
2012,"Upper Hutt City Council","Sales and other operating income","Roading",133
2012,"Upper Hutt City Council","Employee costs","Roading",642
2012,"Upper Hutt City Council","Depreciation and amortisation","Roading",4009
2012,"Upper Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",1778
2012,"Upper Hutt City Council","Interest expenditure","Roading",331
2012,"Upper Hutt City Council","Purchases and other operating expenditure","Roading",1806
2011,"Upper Hutt City Council","Rates","Roading",4189
2011,"Upper Hutt City Council","Regulatory income and petrol tax","Roading",143
2011,"Upper Hutt City Council","Current grants, subsidies, and donations income","Roading",2700
2011,"Upper Hutt City Council","Interest income","Roading",0
2011,"Upper Hutt City Council","Dividend income","Roading",0
2011,"Upper Hutt City Council","Sales and other operating income","Roading",322
2011,"Upper Hutt City Council","Employee costs","Roading",565
2011,"Upper Hutt City Council","Depreciation and amortisation","Roading",3933
2011,"Upper Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",1517
2011,"Upper Hutt City Council","Interest expenditure","Roading",336
2011,"Upper Hutt City Council","Purchases and other operating expenditure","Roading",972
2010,"Upper Hutt City Council","Rates","Roading",3945
2010,"Upper Hutt City Council","Regulatory income and petrol tax","Roading",128
2010,"Upper Hutt City Council","Current grants, subsidies, and donations income","Roading",935
2010,"Upper Hutt City Council","Interest income","Roading",0
2010,"Upper Hutt City Council","Dividend income","Roading",0
2010,"Upper Hutt City Council","Sales and other operating income","Roading",129
2010,"Upper Hutt City Council","Employee costs","Roading",566
2010,"Upper Hutt City Council","Depreciation and amortisation","Roading",3662
2010,"Upper Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",1485
2010,"Upper Hutt City Council","Interest expenditure","Roading",279
2010,"Upper Hutt City Council","Purchases and other operating expenditure","Roading",960
2009,"Upper Hutt City Council","Rates","Roading",3685
2009,"Upper Hutt City Council","Regulatory income and petrol tax","Roading",141
2009,"Upper Hutt City Council","Current grants, subsidies, and donations income","Roading",768
2009,"Upper Hutt City Council","Interest income","Roading",0
2009,"Upper Hutt City Council","Dividend income","Roading",0
2009,"Upper Hutt City Council","Sales and other operating income","Roading",114
2009,"Upper Hutt City Council","Employee costs","Roading",391
2009,"Upper Hutt City Council","Depreciation and amortisation","Roading",3490
2009,"Upper Hutt City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Upper Hutt City Council","Interest expenditure","Roading",257
2009,"Upper Hutt City Council","Purchases and other operating expenditure","Roading",1697
2014,"Upper Hutt City Council","Rates","Transportation",0
2014,"Upper Hutt City Council","Regulatory income and petrol tax","Transportation",0
2014,"Upper Hutt City Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Upper Hutt City Council","Interest income","Transportation",0
2014,"Upper Hutt City Council","Dividend income","Transportation",0
2014,"Upper Hutt City Council","Sales and other operating income","Transportation",0
2014,"Upper Hutt City Council","Employee costs","Transportation",0
2014,"Upper Hutt City Council","Depreciation and amortisation","Transportation",0
2014,"Upper Hutt City Council","Current grants, subsidies, and donations expenditure","Transportation",0
