"year","council","income","activity","val"
2014,"Waikato District Council","Rates","Roading",18560
2014,"Waikato District Council","Regulatory income and petrol tax","Roading",493
2014,"Waikato District Council","Current grants, subsidies, and donations income","Roading",0
2014,"Waikato District Council","Interest income","Roading",0
2014,"Waikato District Council","Dividend income","Roading",0
2014,"Waikato District Council","Sales and other operating income","Roading",760
2014,"Waikato District Council","Employee costs","Roading",3415
2014,"Waikato District Council","Depreciation and amortisation","Roading",11313
2014,"Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",21
2014,"Waikato District Council","Interest expenditure","Roading",27
2014,"Waikato District Council","Purchases and other operating expenditure","Roading",12211
2013,"Waikato District Council","Rates","Roading",19089
2013,"Waikato District Council","Regulatory income and petrol tax","Roading",456
2013,"Waikato District Council","Current grants, subsidies, and donations income","Roading",0
2013,"Waikato District Council","Interest income","Roading",0
2013,"Waikato District Council","Dividend income","Roading",0
2013,"Waikato District Council","Sales and other operating income","Roading",66
2013,"Waikato District Council","Employee costs","Roading",3968
2013,"Waikato District Council","Depreciation and amortisation","Roading",10841
2013,"Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",26
2013,"Waikato District Council","Interest expenditure","Roading",56
2013,"Waikato District Council","Purchases and other operating expenditure","Roading",12112
2012,"Waikato District Council","Rates","Roading",13406
2012,"Waikato District Council","Regulatory income and petrol tax","Roading",470
2012,"Waikato District Council","Current grants, subsidies, and donations income","Roading",2875
2012,"Waikato District Council","Interest income","Roading",0
2012,"Waikato District Council","Dividend income","Roading",0
2012,"Waikato District Council","Sales and other operating income","Roading",106
2012,"Waikato District Council","Employee costs","Roading",3497
2012,"Waikato District Council","Depreciation and amortisation","Roading",10408
2012,"Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Waikato District Council","Interest expenditure","Roading",121
2012,"Waikato District Council","Purchases and other operating expenditure","Roading",13866
2011,"Waikato District Council","Rates","Roading",86
2011,"Waikato District Council","Regulatory income and petrol tax","Roading",385
2011,"Waikato District Council","Current grants, subsidies, and donations income","Roading",346
2011,"Waikato District Council","Interest income","Roading",0
2011,"Waikato District Council","Dividend income","Roading",0
2011,"Waikato District Council","Sales and other operating income","Roading",328
2011,"Waikato District Council","Employee costs","Roading",3007
2011,"Waikato District Council","Depreciation and amortisation","Roading",9130
2011,"Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waikato District Council","Interest expenditure","Roading",187
2011,"Waikato District Council","Purchases and other operating expenditure","Roading",12662
2010,"Waikato District Council","Rates","Roading",12827
2010,"Waikato District Council","Regulatory income and petrol tax","Roading",472
2010,"Waikato District Council","Current grants, subsidies, and donations income","Roading",5238
2010,"Waikato District Council","Interest income","Roading",0
2010,"Waikato District Council","Dividend income","Roading",0
2010,"Waikato District Council","Sales and other operating income","Roading",62
2010,"Waikato District Council","Employee costs","Roading",2198
2010,"Waikato District Council","Depreciation and amortisation","Roading",7128
2010,"Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Waikato District Council","Interest expenditure","Roading",354
2010,"Waikato District Council","Purchases and other operating expenditure","Roading",9723
2009,"Waikato District Council","Rates","Roading",11163
2009,"Waikato District Council","Regulatory income and petrol tax","Roading",365
2009,"Waikato District Council","Current grants, subsidies, and donations income","Roading",5961
2009,"Waikato District Council","Interest income","Roading",0
2009,"Waikato District Council","Dividend income","Roading",0
2009,"Waikato District Council","Sales and other operating income","Roading",156
2009,"Waikato District Council","Employee costs","Roading",1125
2009,"Waikato District Council","Depreciation and amortisation","Roading",7066
2009,"Waikato District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Waikato District Council","Interest expenditure","Roading",704
2009,"Waikato District Council","Purchases and other operating expenditure","Roading",9515
2014,"Waikato District Council","Rates","Transportation",0
2014,"Waikato District Council","Regulatory income and petrol tax","Transportation",0
2014,"Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Waikato District Council","Interest income","Transportation",0
2014,"Waikato District Council","Dividend income","Transportation",0
2014,"Waikato District Council","Sales and other operating income","Transportation",0
2014,"Waikato District Council","Employee costs","Transportation",0
2014,"Waikato District Council","Depreciation and amortisation","Transportation",0
2014,"Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Waikato District Council","Interest expenditure","Transportation",0
2014,"Waikato District Council","Purchases and other operating expenditure","Transportation",0
2013,"Waikato District Council","Rates","Transportation",0
2013,"Waikato District Council","Regulatory income and petrol tax","Transportation",0
2013,"Waikato District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Waikato District Council","Interest income","Transportation",0
2013,"Waikato District Council","Dividend income","Transportation",0
2013,"Waikato District Council","Sales and other operating income","Transportation",0
2013,"Waikato District Council","Employee costs","Transportation",0
2013,"Waikato District Council","Depreciation and amortisation","Transportation",0
2013,"Waikato District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Waikato District Council","Interest expenditure","Transportation",0
