"year","council","income","activity","val"
2014,"Waikato Regional Council","Rates","Roading",0
2014,"Waikato Regional Council","Regulatory income and petrol tax","Roading",0
2014,"Waikato Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"Waikato Regional Council","Interest income","Roading",0
2014,"Waikato Regional Council","Dividend income","Roading",0
2014,"Waikato Regional Council","Sales and other operating income","Roading",0
2014,"Waikato Regional Council","Employee costs","Roading",0
2014,"Waikato Regional Council","Depreciation and amortisation","Roading",0
2014,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Waikato Regional Council","Interest expenditure","Roading",0
2014,"Waikato Regional Council","Purchases and other operating expenditure","Roading",0
2013,"Waikato Regional Council","Rates","Roading",0
2013,"Waikato Regional Council","Regulatory income and petrol tax","Roading",0
2013,"Waikato Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"Waikato Regional Council","Interest income","Roading",0
2013,"Waikato Regional Council","Dividend income","Roading",0
2013,"Waikato Regional Council","Sales and other operating income","Roading",0
2013,"Waikato Regional Council","Employee costs","Roading",0
2013,"Waikato Regional Council","Depreciation and amortisation","Roading",0
2013,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Waikato Regional Council","Interest expenditure","Roading",0
2013,"Waikato Regional Council","Purchases and other operating expenditure","Roading",0
2012,"Waikato Regional Council","Rates","Roading",0
2012,"Waikato Regional Council","Regulatory income and petrol tax","Roading",0
2012,"Waikato Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"Waikato Regional Council","Interest income","Roading",0
2012,"Waikato Regional Council","Dividend income","Roading",0
2012,"Waikato Regional Council","Sales and other operating income","Roading",0
2012,"Waikato Regional Council","Employee costs","Roading",0
2012,"Waikato Regional Council","Depreciation and amortisation","Roading",0
2012,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Waikato Regional Council","Interest expenditure","Roading",0
2012,"Waikato Regional Council","Purchases and other operating expenditure","Roading",0
2011,"Waikato Regional Council","Rates","Roading",0
2011,"Waikato Regional Council","Regulatory income and petrol tax","Roading",0
2011,"Waikato Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"Waikato Regional Council","Interest income","Roading",0
2011,"Waikato Regional Council","Dividend income","Roading",0
2011,"Waikato Regional Council","Sales and other operating income","Roading",0
2011,"Waikato Regional Council","Employee costs","Roading",0
2011,"Waikato Regional Council","Depreciation and amortisation","Roading",0
2011,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waikato Regional Council","Interest expenditure","Roading",0
2011,"Waikato Regional Council","Purchases and other operating expenditure","Roading",0
2010,"Waikato Regional Council","Rates","Roading",0
2010,"Waikato Regional Council","Regulatory income and petrol tax","Roading",0
2010,"Waikato Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"Waikato Regional Council","Interest income","Roading",0
2010,"Waikato Regional Council","Dividend income","Roading",0
2010,"Waikato Regional Council","Sales and other operating income","Roading",0
2010,"Waikato Regional Council","Employee costs","Roading",0
2010,"Waikato Regional Council","Depreciation and amortisation","Roading",0
2010,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Waikato Regional Council","Interest expenditure","Roading",0
2010,"Waikato Regional Council","Purchases and other operating expenditure","Roading",0
2009,"Waikato Regional Council","Rates","Roading",0
2009,"Waikato Regional Council","Regulatory income and petrol tax","Roading",0
2009,"Waikato Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"Waikato Regional Council","Interest income","Roading",0
2009,"Waikato Regional Council","Dividend income","Roading",0
2009,"Waikato Regional Council","Sales and other operating income","Roading",0
2009,"Waikato Regional Council","Employee costs","Roading",0
2009,"Waikato Regional Council","Depreciation and amortisation","Roading",0
2009,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Waikato Regional Council","Interest expenditure","Roading",0
2009,"Waikato Regional Council","Purchases and other operating expenditure","Roading",0
2014,"Waikato Regional Council","Rates","Transportation",8085
2014,"Waikato Regional Council","Regulatory income and petrol tax","Transportation",0
2014,"Waikato Regional Council","Current grants, subsidies, and donations income","Transportation",9769
2014,"Waikato Regional Council","Interest income","Transportation",0
2014,"Waikato Regional Council","Dividend income","Transportation",0
2014,"Waikato Regional Council","Sales and other operating income","Transportation",7348
2014,"Waikato Regional Council","Employee costs","Transportation",1811
2014,"Waikato Regional Council","Depreciation and amortisation","Transportation",70
2014,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Waikato Regional Council","Interest expenditure","Transportation",0
2014,"Waikato Regional Council","Purchases and other operating expenditure","Transportation",24234
2013,"Waikato Regional Council","Rates","Transportation",8684
2013,"Waikato Regional Council","Regulatory income and petrol tax","Transportation",0
2013,"Waikato Regional Council","Current grants, subsidies, and donations income","Transportation",9635
2013,"Waikato Regional Council","Interest income","Transportation",0
2013,"Waikato Regional Council","Dividend income","Transportation",0
2013,"Waikato Regional Council","Sales and other operating income","Transportation",7040
2013,"Waikato Regional Council","Employee costs","Transportation",1735
2013,"Waikato Regional Council","Depreciation and amortisation","Transportation",141
2013,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Waikato Regional Council","Interest expenditure","Transportation",0
2013,"Waikato Regional Council","Purchases and other operating expenditure","Transportation",23183
2012,"Waikato Regional Council","Rates","Transportation",9080
2012,"Waikato Regional Council","Regulatory income and petrol tax","Transportation",0
2012,"Waikato Regional Council","Current grants, subsidies, and donations income","Transportation",10545
2012,"Waikato Regional Council","Interest income","Transportation",0
2012,"Waikato Regional Council","Dividend income","Transportation",0
2012,"Waikato Regional Council","Sales and other operating income","Transportation",6455
2012,"Waikato Regional Council","Employee costs","Transportation",1096
2012,"Waikato Regional Council","Depreciation and amortisation","Transportation",141
2012,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Waikato Regional Council","Interest expenditure","Transportation",0
2012,"Waikato Regional Council","Purchases and other operating expenditure","Transportation",21833
2011,"Waikato Regional Council","Rates","Transportation",8649
2011,"Waikato Regional Council","Regulatory income and petrol tax","Transportation",11
2011,"Waikato Regional Council","Current grants, subsidies, and donations income","Transportation",9854
2011,"Waikato Regional Council","Interest income","Transportation",0
2011,"Waikato Regional Council","Dividend income","Transportation",0
2011,"Waikato Regional Council","Sales and other operating income","Transportation",6080
2011,"Waikato Regional Council","Employee costs","Transportation",1067
2011,"Waikato Regional Council","Depreciation and amortisation","Transportation",141
2011,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Waikato Regional Council","Interest expenditure","Transportation",0
2011,"Waikato Regional Council","Purchases and other operating expenditure","Transportation",21375
2010,"Waikato Regional Council","Rates","Transportation",7768
2010,"Waikato Regional Council","Regulatory income and petrol tax","Transportation",0
2010,"Waikato Regional Council","Current grants, subsidies, and donations income","Transportation",9860
2010,"Waikato Regional Council","Interest income","Transportation",0
2010,"Waikato Regional Council","Dividend income","Transportation",0
2010,"Waikato Regional Council","Sales and other operating income","Transportation",5410
2010,"Waikato Regional Council","Employee costs","Transportation",1086
2010,"Waikato Regional Council","Depreciation and amortisation","Transportation",278
2010,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Waikato Regional Council","Interest expenditure","Transportation",0
2010,"Waikato Regional Council","Purchases and other operating expenditure","Transportation",20687
2009,"Waikato Regional Council","Rates","Transportation",7218
2009,"Waikato Regional Council","Regulatory income and petrol tax","Transportation",0
2009,"Waikato Regional Council","Current grants, subsidies, and donations income","Transportation",8883
2009,"Waikato Regional Council","Interest income","Transportation",0
2009,"Waikato Regional Council","Dividend income","Transportation",0
2009,"Waikato Regional Council","Sales and other operating income","Transportation",4882
2009,"Waikato Regional Council","Employee costs","Transportation",0
2009,"Waikato Regional Council","Depreciation and amortisation","Transportation",278
2009,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Waikato Regional Council","Interest expenditure","Transportation",0
2009,"Waikato Regional Council","Purchases and other operating expenditure","Transportation",18814
2014,"Waikato Regional Council","Rates","Water supply",0
2014,"Waikato Regional Council","Regulatory income and petrol tax","Water supply",0
2014,"Waikato Regional Council","Current grants, subsidies, and donations income","Water supply",0
2014,"Waikato Regional Council","Interest income","Water supply",0
2014,"Waikato Regional Council","Dividend income","Water supply",0
2014,"Waikato Regional Council","Sales and other operating income","Water supply",0
2014,"Waikato Regional Council","Employee costs","Water supply",0
2014,"Waikato Regional Council","Depreciation and amortisation","Water supply",0
2014,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2014,"Waikato Regional Council","Interest expenditure","Water supply",0
2014,"Waikato Regional Council","Purchases and other operating expenditure","Water supply",0
2013,"Waikato Regional Council","Rates","Water supply",0
2013,"Waikato Regional Council","Regulatory income and petrol tax","Water supply",0
2013,"Waikato Regional Council","Current grants, subsidies, and donations income","Water supply",0
2013,"Waikato Regional Council","Interest income","Water supply",0
2013,"Waikato Regional Council","Dividend income","Water supply",0
2013,"Waikato Regional Council","Sales and other operating income","Water supply",0
2013,"Waikato Regional Council","Employee costs","Water supply",0
2013,"Waikato Regional Council","Depreciation and amortisation","Water supply",0
2013,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2013,"Waikato Regional Council","Interest expenditure","Water supply",0
2013,"Waikato Regional Council","Purchases and other operating expenditure","Water supply",0
2012,"Waikato Regional Council","Rates","Water supply",0
2012,"Waikato Regional Council","Regulatory income and petrol tax","Water supply",0
2012,"Waikato Regional Council","Current grants, subsidies, and donations income","Water supply",0
2012,"Waikato Regional Council","Interest income","Water supply",0
2012,"Waikato Regional Council","Dividend income","Water supply",0
2012,"Waikato Regional Council","Sales and other operating income","Water supply",0
2012,"Waikato Regional Council","Employee costs","Water supply",0
2012,"Waikato Regional Council","Depreciation and amortisation","Water supply",0
2012,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2012,"Waikato Regional Council","Interest expenditure","Water supply",0
2012,"Waikato Regional Council","Purchases and other operating expenditure","Water supply",0
2011,"Waikato Regional Council","Rates","Water supply",0
2011,"Waikato Regional Council","Regulatory income and petrol tax","Water supply",0
2011,"Waikato Regional Council","Current grants, subsidies, and donations income","Water supply",0
2011,"Waikato Regional Council","Interest income","Water supply",0
2011,"Waikato Regional Council","Dividend income","Water supply",0
2011,"Waikato Regional Council","Sales and other operating income","Water supply",0
2011,"Waikato Regional Council","Employee costs","Water supply",0
2011,"Waikato Regional Council","Depreciation and amortisation","Water supply",0
2011,"Waikato Regional Council","Current grants, subsidies, and donations expenditure","Water supply",0
2011,"Waikato Regional Council","Interest expenditure","Water supply",0
2011,"Waikato Regional Council","Purchases and other operating expenditure","Water supply",0
2010,"Waikato Regional Council","Rates","Water supply",0
2010,"Waikato Regional Council","Regulatory income and petrol tax","Water supply",0
2010,"Waikato Regional Council","Current grants, subsidies, and donations income","Water supply",0
2010,"Waikato Regional Council","Interest income","Water supply",0
2010,"Waikato Regional Council","Dividend income","Water supply",0
