"year","council","income","activity","val"
2014,"Waimakariri District Council","Rates","Roading",8117
2014,"Waimakariri District Council","Regulatory income and petrol tax","Roading",405
2014,"Waimakariri District Council","Current grants, subsidies, and donations income","Roading",2446
2014,"Waimakariri District Council","Interest income","Roading",0
2014,"Waimakariri District Council","Dividend income","Roading",0
2014,"Waimakariri District Council","Sales and other operating income","Roading",223
2014,"Waimakariri District Council","Employee costs","Roading",582
2014,"Waimakariri District Council","Depreciation and amortisation","Roading",7000
2014,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Waimakariri District Council","Interest expenditure","Roading",422
2014,"Waimakariri District Council","Purchases and other operating expenditure","Roading",5113
2013,"Waimakariri District Council","Rates","Roading",7593
2013,"Waimakariri District Council","Regulatory income and petrol tax","Roading",364
2013,"Waimakariri District Council","Current grants, subsidies, and donations income","Roading",2332
2013,"Waimakariri District Council","Interest income","Roading",0
2013,"Waimakariri District Council","Dividend income","Roading",0
2013,"Waimakariri District Council","Sales and other operating income","Roading",201
2013,"Waimakariri District Council","Employee costs","Roading",479
2013,"Waimakariri District Council","Depreciation and amortisation","Roading",6523
2013,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Waimakariri District Council","Interest expenditure","Roading",363
2013,"Waimakariri District Council","Purchases and other operating expenditure","Roading",5305
2012,"Waimakariri District Council","Rates","Roading",7158
2012,"Waimakariri District Council","Regulatory income and petrol tax","Roading",349
2012,"Waimakariri District Council","Current grants, subsidies, and donations income","Roading",2326
2012,"Waimakariri District Council","Interest income","Roading",0
2012,"Waimakariri District Council","Dividend income","Roading",0
2012,"Waimakariri District Council","Sales and other operating income","Roading",0
2012,"Waimakariri District Council","Employee costs","Roading",513
2012,"Waimakariri District Council","Depreciation and amortisation","Roading",5820
2012,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Waimakariri District Council","Interest expenditure","Roading",369
2012,"Waimakariri District Council","Purchases and other operating expenditure","Roading",5297
2011,"Waimakariri District Council","Rates","Roading",7170
2011,"Waimakariri District Council","Regulatory income and petrol tax","Roading",341
2011,"Waimakariri District Council","Current grants, subsidies, and donations income","Roading",3145
2011,"Waimakariri District Council","Interest income","Roading",0
2011,"Waimakariri District Council","Dividend income","Roading",0
2011,"Waimakariri District Council","Sales and other operating income","Roading",357
2011,"Waimakariri District Council","Employee costs","Roading",526
2011,"Waimakariri District Council","Depreciation and amortisation","Roading",5432
2011,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waimakariri District Council","Interest expenditure","Roading",379
2011,"Waimakariri District Council","Purchases and other operating expenditure","Roading",6087
2010,"Waimakariri District Council","Rates","Roading",6812
2010,"Waimakariri District Council","Regulatory income and petrol tax","Roading",315
2010,"Waimakariri District Council","Current grants, subsidies, and donations income","Roading",1962
2010,"Waimakariri District Council","Interest income","Roading",0
2010,"Waimakariri District Council","Dividend income","Roading",0
2010,"Waimakariri District Council","Sales and other operating income","Roading",80
2010,"Waimakariri District Council","Employee costs","Roading",486
2010,"Waimakariri District Council","Depreciation and amortisation","Roading",5368
2010,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Waimakariri District Council","Interest expenditure","Roading",188
2010,"Waimakariri District Council","Purchases and other operating expenditure","Roading",5089
2009,"Waimakariri District Council","Rates","Roading",6177
2009,"Waimakariri District Council","Regulatory income and petrol tax","Roading",315
2009,"Waimakariri District Council","Current grants, subsidies, and donations income","Roading",2321
2009,"Waimakariri District Council","Interest income","Roading",0
2009,"Waimakariri District Council","Dividend income","Roading",0
2009,"Waimakariri District Council","Sales and other operating income","Roading",362
2009,"Waimakariri District Council","Employee costs","Roading",426
2009,"Waimakariri District Council","Depreciation and amortisation","Roading",5246
2009,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Waimakariri District Council","Interest expenditure","Roading",237
2009,"Waimakariri District Council","Purchases and other operating expenditure","Roading",6020
2014,"Waimakariri District Council","Rates","Transportation",0
2014,"Waimakariri District Council","Regulatory income and petrol tax","Transportation",0
2014,"Waimakariri District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Waimakariri District Council","Interest income","Transportation",0
2014,"Waimakariri District Council","Dividend income","Transportation",0
2014,"Waimakariri District Council","Sales and other operating income","Transportation",0
2014,"Waimakariri District Council","Employee costs","Transportation",0
2014,"Waimakariri District Council","Depreciation and amortisation","Transportation",0
2014,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Waimakariri District Council","Interest expenditure","Transportation",0
2014,"Waimakariri District Council","Purchases and other operating expenditure","Transportation",0
2013,"Waimakariri District Council","Rates","Transportation",0
2013,"Waimakariri District Council","Regulatory income and petrol tax","Transportation",17
2013,"Waimakariri District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Waimakariri District Council","Interest income","Transportation",0
2013,"Waimakariri District Council","Dividend income","Transportation",0
2013,"Waimakariri District Council","Sales and other operating income","Transportation",70
2013,"Waimakariri District Council","Employee costs","Transportation",0
2013,"Waimakariri District Council","Depreciation and amortisation","Transportation",0
2013,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Waimakariri District Council","Interest expenditure","Transportation",0
2013,"Waimakariri District Council","Purchases and other operating expenditure","Transportation",0
2012,"Waimakariri District Council","Rates","Transportation",0
2012,"Waimakariri District Council","Regulatory income and petrol tax","Transportation",107
2012,"Waimakariri District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Waimakariri District Council","Interest income","Transportation",0
2012,"Waimakariri District Council","Dividend income","Transportation",0
2012,"Waimakariri District Council","Sales and other operating income","Transportation",0
2012,"Waimakariri District Council","Employee costs","Transportation",0
2012,"Waimakariri District Council","Depreciation and amortisation","Transportation",4
2012,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Waimakariri District Council","Interest expenditure","Transportation",50
2012,"Waimakariri District Council","Purchases and other operating expenditure","Transportation",161
2011,"Waimakariri District Council","Rates","Transportation",0
2011,"Waimakariri District Council","Regulatory income and petrol tax","Transportation",139
2011,"Waimakariri District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Waimakariri District Council","Interest income","Transportation",0
2011,"Waimakariri District Council","Dividend income","Transportation",0
2011,"Waimakariri District Council","Sales and other operating income","Transportation",65
2011,"Waimakariri District Council","Employee costs","Transportation",0
2011,"Waimakariri District Council","Depreciation and amortisation","Transportation",0
2011,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Waimakariri District Council","Interest expenditure","Transportation",51
2011,"Waimakariri District Council","Purchases and other operating expenditure","Transportation",196
2010,"Waimakariri District Council","Rates","Transportation",0
2010,"Waimakariri District Council","Regulatory income and petrol tax","Transportation",206
2010,"Waimakariri District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Waimakariri District Council","Interest income","Transportation",0
2010,"Waimakariri District Council","Dividend income","Transportation",0
2010,"Waimakariri District Council","Sales and other operating income","Transportation",42
2010,"Waimakariri District Council","Employee costs","Transportation",0
2010,"Waimakariri District Council","Depreciation and amortisation","Transportation",0
2010,"Waimakariri District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Waimakariri District Council","Interest expenditure","Transportation",4
2010,"Waimakariri District Council","Purchases and other operating expenditure","Transportation",164
2009,"Waimakariri District Council","Rates","Transportation",0
2009,"Waimakariri District Council","Regulatory income and petrol tax","Transportation",117
2009,"Waimakariri District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Waimakariri District Council","Interest income","Transportation",0
2009,"Waimakariri District Council","Dividend income","Transportation",0
2009,"Waimakariri District Council","Sales and other operating income","Transportation",42
2009,"Waimakariri District Council","Employee costs","Transportation",0
2009,"Waimakariri District Council","Depreciation and amortisation","Transportation",0
