"year","council","income","activity","val"
2014,"Waimate District Council","Rates","Roading",2106
2014,"Waimate District Council","Regulatory income and petrol tax","Roading",92
2014,"Waimate District Council","Current grants, subsidies, and donations income","Roading",0
2014,"Waimate District Council","Interest income","Roading",0
2014,"Waimate District Council","Dividend income","Roading",0
2014,"Waimate District Council","Sales and other operating income","Roading",15
2014,"Waimate District Council","Employee costs","Roading",0
2014,"Waimate District Council","Depreciation and amortisation","Roading",2534
2014,"Waimate District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Waimate District Council","Interest expenditure","Roading",0
2014,"Waimate District Council","Purchases and other operating expenditure","Roading",2077
2013,"Waimate District Council","Rates","Roading",1879
2013,"Waimate District Council","Regulatory income and petrol tax","Roading",91
2013,"Waimate District Council","Current grants, subsidies, and donations income","Roading",0
2013,"Waimate District Council","Interest income","Roading",0
2013,"Waimate District Council","Dividend income","Roading",0
2013,"Waimate District Council","Sales and other operating income","Roading",49
2013,"Waimate District Council","Employee costs","Roading",0
2013,"Waimate District Council","Depreciation and amortisation","Roading",2124
2013,"Waimate District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Waimate District Council","Interest expenditure","Roading",0
2013,"Waimate District Council","Purchases and other operating expenditure","Roading",1930
2012,"Waimate District Council","Rates","Roading",1759
2012,"Waimate District Council","Regulatory income and petrol tax","Roading",86
2012,"Waimate District Council","Current grants, subsidies, and donations income","Roading",0
2012,"Waimate District Council","Interest income","Roading",0
2012,"Waimate District Council","Dividend income","Roading",0
2012,"Waimate District Council","Sales and other operating income","Roading",40
2012,"Waimate District Council","Employee costs","Roading",272
2012,"Waimate District Council","Depreciation and amortisation","Roading",2502
2012,"Waimate District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Waimate District Council","Interest expenditure","Roading",0
2012,"Waimate District Council","Purchases and other operating expenditure","Roading",1754
2011,"Waimate District Council","Rates","Roading",1812
2011,"Waimate District Council","Regulatory income and petrol tax","Roading",81
2011,"Waimate District Council","Current grants, subsidies, and donations income","Roading",50
2011,"Waimate District Council","Interest income","Roading",0
2011,"Waimate District Council","Dividend income","Roading",0
2011,"Waimate District Council","Sales and other operating income","Roading",58
2011,"Waimate District Council","Employee costs","Roading",224
2011,"Waimate District Council","Depreciation and amortisation","Roading",2055
2011,"Waimate District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waimate District Council","Interest expenditure","Roading",0
2011,"Waimate District Council","Purchases and other operating expenditure","Roading",2053
2010,"Waimate District Council","Rates","Roading",1752
2010,"Waimate District Council","Regulatory income and petrol tax","Roading",79
2010,"Waimate District Council","Current grants, subsidies, and donations income","Roading",0
2010,"Waimate District Council","Interest income","Roading",0
2010,"Waimate District Council","Dividend income","Roading",0
