"year","council","income","activity","val"
2014,"Waipa District Council","Rates","Roading",10679
2014,"Waipa District Council","Regulatory income and petrol tax","Roading",339
2014,"Waipa District Council","Current grants, subsidies, and donations income","Roading",2332
2014,"Waipa District Council","Interest income","Roading",0
2014,"Waipa District Council","Dividend income","Roading",0
2014,"Waipa District Council","Sales and other operating income","Roading",119
2014,"Waipa District Council","Employee costs","Roading",844
2014,"Waipa District Council","Depreciation and amortisation","Roading",8494
2014,"Waipa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Waipa District Council","Interest expenditure","Roading",0
2014,"Waipa District Council","Purchases and other operating expenditure","Roading",4403
2013,"Waipa District Council","Rates","Roading",10239
2013,"Waipa District Council","Regulatory income and petrol tax","Roading",551
2013,"Waipa District Council","Current grants, subsidies, and donations income","Roading",2692
2013,"Waipa District Council","Interest income","Roading",0
2013,"Waipa District Council","Dividend income","Roading",0
2013,"Waipa District Council","Sales and other operating income","Roading",0
2013,"Waipa District Council","Employee costs","Roading",751
2013,"Waipa District Council","Depreciation and amortisation","Roading",8476
2013,"Waipa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Waipa District Council","Interest expenditure","Roading",0
2013,"Waipa District Council","Purchases and other operating expenditure","Roading",4921
2012,"Waipa District Council","Rates","Roading",9571
2012,"Waipa District Council","Regulatory income and petrol tax","Roading",326
2012,"Waipa District Council","Current grants, subsidies, and donations income","Roading",7949
2012,"Waipa District Council","Interest income","Roading",0
2012,"Waipa District Council","Dividend income","Roading",0
2012,"Waipa District Council","Sales and other operating income","Roading",81
2012,"Waipa District Council","Employee costs","Roading",743
2012,"Waipa District Council","Depreciation and amortisation","Roading",6607
2012,"Waipa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Waipa District Council","Interest expenditure","Roading",0
2012,"Waipa District Council","Purchases and other operating expenditure","Roading",5992
2011,"Waipa District Council","Rates","Roading",8865
2011,"Waipa District Council","Regulatory income and petrol tax","Roading",281
2011,"Waipa District Council","Current grants, subsidies, and donations income","Roading",5804
2011,"Waipa District Council","Interest income","Roading",0
2011,"Waipa District Council","Dividend income","Roading",0
2011,"Waipa District Council","Sales and other operating income","Roading",67
2011,"Waipa District Council","Employee costs","Roading",701
2011,"Waipa District Council","Depreciation and amortisation","Roading",7471
2011,"Waipa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waipa District Council","Interest expenditure","Roading",0
2011,"Waipa District Council","Purchases and other operating expenditure","Roading",4278
2010,"Waipa District Council","Rates","Roading",8269
2010,"Waipa District Council","Regulatory income and petrol tax","Roading",321
2010,"Waipa District Council","Current grants, subsidies, and donations income","Roading",5109
2010,"Waipa District Council","Interest income","Roading",0
2010,"Waipa District Council","Dividend income","Roading",0
2010,"Waipa District Council","Sales and other operating income","Roading",250
2010,"Waipa District Council","Employee costs","Roading",678
2010,"Waipa District Council","Depreciation and amortisation","Roading",7055
2010,"Waipa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Waipa District Council","Interest expenditure","Roading",0
2010,"Waipa District Council","Purchases and other operating expenditure","Roading",4950
2009,"Waipa District Council","Rates","Roading",6929
2009,"Waipa District Council","Regulatory income and petrol tax","Roading",316
2009,"Waipa District Council","Current grants, subsidies, and donations income","Roading",3297
2009,"Waipa District Council","Interest income","Roading",0
2009,"Waipa District Council","Dividend income","Roading",0
2009,"Waipa District Council","Sales and other operating income","Roading",56
2009,"Waipa District Council","Employee costs","Roading",569
2009,"Waipa District Council","Depreciation and amortisation","Roading",5401
2009,"Waipa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Waipa District Council","Interest expenditure","Roading",0
2009,"Waipa District Council","Purchases and other operating expenditure","Roading",5546
2014,"Waipa District Council","Rates","Transportation",0
2014,"Waipa District Council","Regulatory income and petrol tax","Transportation",0
2014,"Waipa District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Waipa District Council","Interest income","Transportation",0
2014,"Waipa District Council","Dividend income","Transportation",0
2014,"Waipa District Council","Sales and other operating income","Transportation",0
2014,"Waipa District Council","Employee costs","Transportation",0
2014,"Waipa District Council","Depreciation and amortisation","Transportation",0
2014,"Waipa District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Waipa District Council","Interest expenditure","Transportation",0
2014,"Waipa District Council","Purchases and other operating expenditure","Transportation",0
2013,"Waipa District Council","Rates","Transportation",0
2013,"Waipa District Council","Regulatory income and petrol tax","Transportation",0
2013,"Waipa District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Waipa District Council","Interest income","Transportation",0
2013,"Waipa District Council","Dividend income","Transportation",0
2013,"Waipa District Council","Sales and other operating income","Transportation",0
2013,"Waipa District Council","Employee costs","Transportation",0
2013,"Waipa District Council","Depreciation and amortisation","Transportation",0
2013,"Waipa District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Waipa District Council","Interest expenditure","Transportation",0
2013,"Waipa District Council","Purchases and other operating expenditure","Transportation",0
2012,"Waipa District Council","Rates","Transportation",0
2012,"Waipa District Council","Regulatory income and petrol tax","Transportation",0
2012,"Waipa District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Waipa District Council","Interest income","Transportation",0
2012,"Waipa District Council","Dividend income","Transportation",0
2012,"Waipa District Council","Sales and other operating income","Transportation",0
2012,"Waipa District Council","Employee costs","Transportation",0
2012,"Waipa District Council","Depreciation and amortisation","Transportation",0
2012,"Waipa District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Waipa District Council","Interest expenditure","Transportation",0
2012,"Waipa District Council","Purchases and other operating expenditure","Transportation",0
2011,"Waipa District Council","Rates","Transportation",0
2011,"Waipa District Council","Regulatory income and petrol tax","Transportation",0
2011,"Waipa District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Waipa District Council","Interest income","Transportation",0
2011,"Waipa District Council","Dividend income","Transportation",0
2011,"Waipa District Council","Sales and other operating income","Transportation",0
