"year","council","income","activity","val"
2014,"Wairoa District Council","Rates","Roading",3314
2014,"Wairoa District Council","Regulatory income and petrol tax","Roading",61
2014,"Wairoa District Council","Current grants, subsidies, and donations income","Roading",4591
2014,"Wairoa District Council","Interest income","Roading",0
2014,"Wairoa District Council","Dividend income","Roading",0
2014,"Wairoa District Council","Sales and other operating income","Roading",17
2014,"Wairoa District Council","Employee costs","Roading",358
2014,"Wairoa District Council","Depreciation and amortisation","Roading",2998
2014,"Wairoa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Wairoa District Council","Interest expenditure","Roading",0
2014,"Wairoa District Council","Purchases and other operating expenditure","Roading",6653
2013,"Wairoa District Council","Rates","Roading",3384
2013,"Wairoa District Council","Regulatory income and petrol tax","Roading",64
2013,"Wairoa District Council","Current grants, subsidies, and donations income","Roading",7721
2013,"Wairoa District Council","Interest income","Roading",0
2013,"Wairoa District Council","Dividend income","Roading",0
2013,"Wairoa District Council","Sales and other operating income","Roading",659
2013,"Wairoa District Council","Employee costs","Roading",417
2013,"Wairoa District Council","Depreciation and amortisation","Roading",2908
2013,"Wairoa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Wairoa District Council","Interest expenditure","Roading",0
2013,"Wairoa District Council","Purchases and other operating expenditure","Roading",6977
2012,"Wairoa District Council","Rates","Roading",3722
2012,"Wairoa District Council","Regulatory income and petrol tax","Roading",66
2012,"Wairoa District Council","Current grants, subsidies, and donations income","Roading",10040
2012,"Wairoa District Council","Interest income","Roading",0
2012,"Wairoa District Council","Dividend income","Roading",0
2012,"Wairoa District Council","Sales and other operating income","Roading",926
2012,"Wairoa District Council","Employee costs","Roading",451
2012,"Wairoa District Council","Depreciation and amortisation","Roading",2778
2012,"Wairoa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Wairoa District Council","Interest expenditure","Roading",0
2012,"Wairoa District Council","Purchases and other operating expenditure","Roading",8473
2011,"Wairoa District Council","Rates","Roading",3381
2011,"Wairoa District Council","Regulatory income and petrol tax","Roading",70
2011,"Wairoa District Council","Current grants, subsidies, and donations income","Roading",7694
2011,"Wairoa District Council","Interest income","Roading",0
2011,"Wairoa District Council","Dividend income","Roading",0
2011,"Wairoa District Council","Sales and other operating income","Roading",6
2011,"Wairoa District Council","Employee costs","Roading",0
2011,"Wairoa District Council","Depreciation and amortisation","Roading",2245
2011,"Wairoa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Wairoa District Council","Interest expenditure","Roading",0
2011,"Wairoa District Council","Purchases and other operating expenditure","Roading",7028
2010,"Wairoa District Council","Rates","Roading",3545
2010,"Wairoa District Council","Regulatory income and petrol tax","Roading",67
2010,"Wairoa District Council","Current grants, subsidies, and donations income","Roading",5197
2010,"Wairoa District Council","Interest income","Roading",0
2010,"Wairoa District Council","Dividend income","Roading",0
2010,"Wairoa District Council","Sales and other operating income","Roading",16
2010,"Wairoa District Council","Employee costs","Roading",0
2010,"Wairoa District Council","Depreciation and amortisation","Roading",2106
2010,"Wairoa District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Wairoa District Council","Interest expenditure","Roading",0
