"year","council","income","activity","val"
2011,"Waitakere City Council","Rates","Roading",5888
2011,"Waitakere City Council","Regulatory income and petrol tax","Roading",381
2011,"Waitakere City Council","Current grants, subsidies, and donations income","Roading",1146
2011,"Waitakere City Council","Interest income","Roading",0
2011,"Waitakere City Council","Dividend income","Roading",0
2011,"Waitakere City Council","Sales and other operating income","Roading",2095
2011,"Waitakere City Council","Employee costs","Roading",5156
2011,"Waitakere City Council","Depreciation and amortisation","Roading",8537
2011,"Waitakere City Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waitakere City Council","Interest expenditure","Roading",6949
2011,"Waitakere City Council","Purchases and other operating expenditure","Roading",3128
2010,"Waitakere City Council","Rates","Roading",12669
2010,"Waitakere City Council","Regulatory income and petrol tax","Roading",1147
2010,"Waitakere City Council","Current grants, subsidies, and donations income","Roading",3436
2010,"Waitakere City Council","Interest income","Roading",0
2010,"Waitakere City Council","Dividend income","Roading",0
2010,"Waitakere City Council","Sales and other operating income","Roading",1653
2010,"Waitakere City Council","Employee costs","Roading",3401
2010,"Waitakere City Council","Depreciation and amortisation","Roading",12237
2010,"Waitakere City Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Waitakere City Council","Interest expenditure","Roading",12386
2010,"Waitakere City Council","Purchases and other operating expenditure","Roading",8816
2009,"Waitakere City Council","Rates","Roading",0
2009,"Waitakere City Council","Regulatory income and petrol tax","Roading",1129
2009,"Waitakere City Council","Current grants, subsidies, and donations income","Roading",4727
2009,"Waitakere City Council","Interest income","Roading",0
2009,"Waitakere City Council","Dividend income","Roading",0
2009,"Waitakere City Council","Sales and other operating income","Roading",3701
2009,"Waitakere City Council","Employee costs","Roading",3429
2009,"Waitakere City Council","Depreciation and amortisation","Roading",11715
2009,"Waitakere City Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Waitakere City Council","Interest expenditure","Roading",10597
2009,"Waitakere City Council","Purchases and other operating expenditure","Roading",7288
2011,"Waitakere City Council","Rates","Transportation",0
2011,"Waitakere City Council","Regulatory income and petrol tax","Transportation",1533
2011,"Waitakere City Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Waitakere City Council","Interest income","Transportation",0
2011,"Waitakere City Council","Dividend income","Transportation",0
2011,"Waitakere City Council","Sales and other operating income","Transportation",0
2011,"Waitakere City Council","Employee costs","Transportation",73
2011,"Waitakere City Council","Depreciation and amortisation","Transportation",0
2011,"Waitakere City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Waitakere City Council","Interest expenditure","Transportation",0
2011,"Waitakere City Council","Purchases and other operating expenditure","Transportation",1774
2010,"Waitakere City Council","Rates","Transportation",0
2010,"Waitakere City Council","Regulatory income and petrol tax","Transportation",7030
2010,"Waitakere City Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Waitakere City Council","Interest income","Transportation",0
2010,"Waitakere City Council","Dividend income","Transportation",0
2010,"Waitakere City Council","Sales and other operating income","Transportation",0
2010,"Waitakere City Council","Employee costs","Transportation",845
2010,"Waitakere City Council","Depreciation and amortisation","Transportation",72
2010,"Waitakere City Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Waitakere City Council","Interest expenditure","Transportation",0
2010,"Waitakere City Council","Purchases and other operating expenditure","Transportation",5000
2009,"Waitakere City Council","Rates","Transportation",0
2009,"Waitakere City Council","Regulatory income and petrol tax","Transportation",3522
2009,"Waitakere City Council","Current grants, subsidies, and donations income","Transportation",586
2009,"Waitakere City Council","Interest income","Transportation",0
2009,"Waitakere City Council","Dividend income","Transportation",0
2009,"Waitakere City Council","Sales and other operating income","Transportation",5746
2009,"Waitakere City Council","Employee costs","Transportation",772
2009,"Waitakere City Council","Depreciation and amortisation","Transportation",7
2009,"Waitakere City Council","Current grants, subsidies, and donations expenditure","Transportation",66
2009,"Waitakere City Council","Interest expenditure","Transportation",0
