"year","council","income","activity","val"
2014,"Waitaki District Council","Rates","Roading",5933
2014,"Waitaki District Council","Regulatory income and petrol tax","Roading",190
2014,"Waitaki District Council","Current grants, subsidies, and donations income","Roading",3560
2014,"Waitaki District Council","Interest income","Roading",0
2014,"Waitaki District Council","Dividend income","Roading",0
2014,"Waitaki District Council","Sales and other operating income","Roading",32
2014,"Waitaki District Council","Employee costs","Roading",805
2014,"Waitaki District Council","Depreciation and amortisation","Roading",5657
2014,"Waitaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Waitaki District Council","Interest expenditure","Roading",0
2014,"Waitaki District Council","Purchases and other operating expenditure","Roading",6495
2013,"Waitaki District Council","Rates","Roading",5492
2013,"Waitaki District Council","Regulatory income and petrol tax","Roading",179
2013,"Waitaki District Council","Current grants, subsidies, and donations income","Roading",2639
2013,"Waitaki District Council","Interest income","Roading",0
2013,"Waitaki District Council","Dividend income","Roading",0
2013,"Waitaki District Council","Sales and other operating income","Roading",45
2013,"Waitaki District Council","Employee costs","Roading",716
2013,"Waitaki District Council","Depreciation and amortisation","Roading",5620
2013,"Waitaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Waitaki District Council","Interest expenditure","Roading",0
2013,"Waitaki District Council","Purchases and other operating expenditure","Roading",4696
2012,"Waitaki District Council","Rates","Roading",5219
2012,"Waitaki District Council","Regulatory income and petrol tax","Roading",197
2012,"Waitaki District Council","Current grants, subsidies, and donations income","Roading",2395
2012,"Waitaki District Council","Interest income","Roading",0
2012,"Waitaki District Council","Dividend income","Roading",0
2012,"Waitaki District Council","Sales and other operating income","Roading",20
2012,"Waitaki District Council","Employee costs","Roading",765
2012,"Waitaki District Council","Depreciation and amortisation","Roading",5568
2012,"Waitaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Waitaki District Council","Interest expenditure","Roading",0
2012,"Waitaki District Council","Purchases and other operating expenditure","Roading",4922
2011,"Waitaki District Council","Rates","Roading",5033
2011,"Waitaki District Council","Regulatory income and petrol tax","Roading",207
2011,"Waitaki District Council","Current grants, subsidies, and donations income","Roading",2282
2011,"Waitaki District Council","Interest income","Roading",0
2011,"Waitaki District Council","Dividend income","Roading",0
2011,"Waitaki District Council","Sales and other operating income","Roading",227
2011,"Waitaki District Council","Employee costs","Roading",634
2011,"Waitaki District Council","Depreciation and amortisation","Roading",5209
2011,"Waitaki District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waitaki District Council","Interest expenditure","Roading",0
2011,"Waitaki District Council","Purchases and other operating expenditure","Roading",5826
2010,"Waitaki District Council","Rates","Roading",5310
2010,"Waitaki District Council","Regulatory income and petrol tax","Roading",212
2010,"Waitaki District Council","Current grants, subsidies, and donations income","Roading",1880
