"year","council","income","activity","val"
2014,"Waitomo District Council","Rates","Roading",5913
2014,"Waitomo District Council","Regulatory income and petrol tax","Roading",126
2014,"Waitomo District Council","Current grants, subsidies, and donations income","Roading",3361
2014,"Waitomo District Council","Interest income","Roading",0
2014,"Waitomo District Council","Dividend income","Roading",0
2014,"Waitomo District Council","Sales and other operating income","Roading",80
2014,"Waitomo District Council","Employee costs","Roading",0
2014,"Waitomo District Council","Depreciation and amortisation","Roading",3065
2014,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Waitomo District Council","Interest expenditure","Roading",0
2014,"Waitomo District Council","Purchases and other operating expenditure","Roading",4900
2013,"Waitomo District Council","Rates","Roading",5502
2013,"Waitomo District Council","Regulatory income and petrol tax","Roading",121
2013,"Waitomo District Council","Current grants, subsidies, and donations income","Roading",2802
2013,"Waitomo District Council","Interest income","Roading",0
2013,"Waitomo District Council","Dividend income","Roading",0
2013,"Waitomo District Council","Sales and other operating income","Roading",18
2013,"Waitomo District Council","Employee costs","Roading",0
2013,"Waitomo District Council","Depreciation and amortisation","Roading",3272
2013,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Waitomo District Council","Interest expenditure","Roading",0
2013,"Waitomo District Council","Purchases and other operating expenditure","Roading",3668
2012,"Waitomo District Council","Rates","Roading",5075
2012,"Waitomo District Council","Regulatory income and petrol tax","Roading",128
2012,"Waitomo District Council","Current grants, subsidies, and donations income","Roading",3266
2012,"Waitomo District Council","Interest income","Roading",0
2012,"Waitomo District Council","Dividend income","Roading",0
2012,"Waitomo District Council","Sales and other operating income","Roading",75
2012,"Waitomo District Council","Employee costs","Roading",0
2012,"Waitomo District Council","Depreciation and amortisation","Roading",2954
2012,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Waitomo District Council","Interest expenditure","Roading",0
2012,"Waitomo District Council","Purchases and other operating expenditure","Roading",4682
2011,"Waitomo District Council","Rates","Roading",4196
2011,"Waitomo District Council","Regulatory income and petrol tax","Roading",120
2011,"Waitomo District Council","Current grants, subsidies, and donations income","Roading",3272
2011,"Waitomo District Council","Interest income","Roading",0
2011,"Waitomo District Council","Dividend income","Roading",0
2011,"Waitomo District Council","Sales and other operating income","Roading",81
2011,"Waitomo District Council","Employee costs","Roading",0
2011,"Waitomo District Council","Depreciation and amortisation","Roading",2866
2011,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Waitomo District Council","Interest expenditure","Roading",0
2011,"Waitomo District Council","Purchases and other operating expenditure","Roading",5230
2010,"Waitomo District Council","Rates","Roading",4015
2010,"Waitomo District Council","Regulatory income and petrol tax","Roading",129
2010,"Waitomo District Council","Current grants, subsidies, and donations income","Roading",2152
2010,"Waitomo District Council","Interest income","Roading",0
2010,"Waitomo District Council","Dividend income","Roading",0
2010,"Waitomo District Council","Sales and other operating income","Roading",74
2010,"Waitomo District Council","Employee costs","Roading",0
2010,"Waitomo District Council","Depreciation and amortisation","Roading",2490
2010,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Waitomo District Council","Interest expenditure","Roading",0
2010,"Waitomo District Council","Purchases and other operating expenditure","Roading",3497
2009,"Waitomo District Council","Rates","Roading",3333
2009,"Waitomo District Council","Regulatory income and petrol tax","Roading",124
2009,"Waitomo District Council","Current grants, subsidies, and donations income","Roading",2635
2009,"Waitomo District Council","Interest income","Roading",0
2009,"Waitomo District Council","Dividend income","Roading",0
2009,"Waitomo District Council","Sales and other operating income","Roading",152
2009,"Waitomo District Council","Employee costs","Roading",0
2009,"Waitomo District Council","Depreciation and amortisation","Roading",2477
2009,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Waitomo District Council","Interest expenditure","Roading",0
2009,"Waitomo District Council","Purchases and other operating expenditure","Roading",4184
2014,"Waitomo District Council","Rates","Transportation",51
2014,"Waitomo District Council","Regulatory income and petrol tax","Transportation",0
2014,"Waitomo District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Waitomo District Council","Interest income","Transportation",0
2014,"Waitomo District Council","Dividend income","Transportation",0
2014,"Waitomo District Council","Sales and other operating income","Transportation",20
2014,"Waitomo District Council","Employee costs","Transportation",0
2014,"Waitomo District Council","Depreciation and amortisation","Transportation",14
2014,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Waitomo District Council","Interest expenditure","Transportation",0
2014,"Waitomo District Council","Purchases and other operating expenditure","Transportation",11
2013,"Waitomo District Council","Rates","Transportation",37
2013,"Waitomo District Council","Regulatory income and petrol tax","Transportation",0
2013,"Waitomo District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Waitomo District Council","Interest income","Transportation",0
2013,"Waitomo District Council","Dividend income","Transportation",0
2013,"Waitomo District Council","Sales and other operating income","Transportation",21
2013,"Waitomo District Council","Employee costs","Transportation",0
2013,"Waitomo District Council","Depreciation and amortisation","Transportation",14
2013,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Waitomo District Council","Interest expenditure","Transportation",0
2013,"Waitomo District Council","Purchases and other operating expenditure","Transportation",26
2012,"Waitomo District Council","Rates","Transportation",29
2012,"Waitomo District Council","Regulatory income and petrol tax","Transportation",0
2012,"Waitomo District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Waitomo District Council","Interest income","Transportation",0
2012,"Waitomo District Council","Dividend income","Transportation",0
2012,"Waitomo District Council","Sales and other operating income","Transportation",20
2012,"Waitomo District Council","Employee costs","Transportation",0
2012,"Waitomo District Council","Depreciation and amortisation","Transportation",12
2012,"Waitomo District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Waitomo District Council","Interest expenditure","Transportation",0
2012,"Waitomo District Council","Purchases and other operating expenditure","Transportation",24
2011,"Waitomo District Council","Rates","Transportation",30
2011,"Waitomo District Council","Regulatory income and petrol tax","Transportation",0
2011,"Waitomo District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Waitomo District Council","Interest income","Transportation",0
2011,"Waitomo District Council","Dividend income","Transportation",0
2011,"Waitomo District Council","Sales and other operating income","Transportation",10
