"year","council","income","activity","val"
2014,"Wanganui District Council","Rates","Roading",6531
2014,"Wanganui District Council","Regulatory income and petrol tax","Roading",288
2014,"Wanganui District Council","Current grants, subsidies, and donations income","Roading",3407
2014,"Wanganui District Council","Interest income","Roading",0
2014,"Wanganui District Council","Dividend income","Roading",0
2014,"Wanganui District Council","Sales and other operating income","Roading",358
2014,"Wanganui District Council","Employee costs","Roading",384
2014,"Wanganui District Council","Depreciation and amortisation","Roading",4926
2014,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Wanganui District Council","Interest expenditure","Roading",557
2014,"Wanganui District Council","Purchases and other operating expenditure","Roading",6194
2013,"Wanganui District Council","Rates","Roading",6255
2013,"Wanganui District Council","Regulatory income and petrol tax","Roading",292
2013,"Wanganui District Council","Current grants, subsidies, and donations income","Roading",3179
2013,"Wanganui District Council","Interest income","Roading",0
2013,"Wanganui District Council","Dividend income","Roading",0
2013,"Wanganui District Council","Sales and other operating income","Roading",197
2013,"Wanganui District Council","Employee costs","Roading",415
2013,"Wanganui District Council","Depreciation and amortisation","Roading",4533
2013,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Wanganui District Council","Interest expenditure","Roading",574
2013,"Wanganui District Council","Purchases and other operating expenditure","Roading",6264
2012,"Wanganui District Council","Rates","Roading",5636
2012,"Wanganui District Council","Regulatory income and petrol tax","Roading",286
2012,"Wanganui District Council","Current grants, subsidies, and donations income","Roading",10334
2012,"Wanganui District Council","Interest income","Roading",0
2012,"Wanganui District Council","Dividend income","Roading",0
2012,"Wanganui District Council","Sales and other operating income","Roading",229
2012,"Wanganui District Council","Employee costs","Roading",391
2012,"Wanganui District Council","Depreciation and amortisation","Roading",4914
2012,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Wanganui District Council","Interest expenditure","Roading",532
2012,"Wanganui District Council","Purchases and other operating expenditure","Roading",6281
2011,"Wanganui District Council","Rates","Roading",5470
2011,"Wanganui District Council","Regulatory income and petrol tax","Roading",294
2011,"Wanganui District Council","Current grants, subsidies, and donations income","Roading",11343
2011,"Wanganui District Council","Interest income","Roading",0
2011,"Wanganui District Council","Dividend income","Roading",0
2011,"Wanganui District Council","Sales and other operating income","Roading",71
2011,"Wanganui District Council","Employee costs","Roading",369
2011,"Wanganui District Council","Depreciation and amortisation","Roading",4676
2011,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Wanganui District Council","Interest expenditure","Roading",441
2011,"Wanganui District Council","Purchases and other operating expenditure","Roading",5786
2010,"Wanganui District Council","Rates","Roading",5413
2010,"Wanganui District Council","Regulatory income and petrol tax","Roading",271
2010,"Wanganui District Council","Current grants, subsidies, and donations income","Roading",8140
2010,"Wanganui District Council","Interest income","Roading",0
2010,"Wanganui District Council","Dividend income","Roading",0
2010,"Wanganui District Council","Sales and other operating income","Roading",17
2010,"Wanganui District Council","Employee costs","Roading",434
2010,"Wanganui District Council","Depreciation and amortisation","Roading",4488
2010,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Wanganui District Council","Interest expenditure","Roading",396
2010,"Wanganui District Council","Purchases and other operating expenditure","Roading",5762
2009,"Wanganui District Council","Rates","Roading",5513
2009,"Wanganui District Council","Regulatory income and petrol tax","Roading",305
2009,"Wanganui District Council","Current grants, subsidies, and donations income","Roading",11799
2009,"Wanganui District Council","Interest income","Roading",0
2009,"Wanganui District Council","Dividend income","Roading",0
2009,"Wanganui District Council","Sales and other operating income","Roading",23
2009,"Wanganui District Council","Employee costs","Roading",405
2009,"Wanganui District Council","Depreciation and amortisation","Roading",4512
2009,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Wanganui District Council","Interest expenditure","Roading",322
2009,"Wanganui District Council","Purchases and other operating expenditure","Roading",5944
2014,"Wanganui District Council","Rates","Transportation",369
2014,"Wanganui District Council","Regulatory income and petrol tax","Transportation",337
2014,"Wanganui District Council","Current grants, subsidies, and donations income","Transportation",37
2014,"Wanganui District Council","Interest income","Transportation",0
2014,"Wanganui District Council","Dividend income","Transportation",0
2014,"Wanganui District Council","Sales and other operating income","Transportation",974
2014,"Wanganui District Council","Employee costs","Transportation",383
2014,"Wanganui District Council","Depreciation and amortisation","Transportation",94
2014,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Wanganui District Council","Interest expenditure","Transportation",78
2014,"Wanganui District Council","Purchases and other operating expenditure","Transportation",691
2013,"Wanganui District Council","Rates","Transportation",228
2013,"Wanganui District Council","Regulatory income and petrol tax","Transportation",497
2013,"Wanganui District Council","Current grants, subsidies, and donations income","Transportation",28
2013,"Wanganui District Council","Interest income","Transportation",0
2013,"Wanganui District Council","Dividend income","Transportation",0
2013,"Wanganui District Council","Sales and other operating income","Transportation",899
2013,"Wanganui District Council","Employee costs","Transportation",371
2013,"Wanganui District Council","Depreciation and amortisation","Transportation",106
2013,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Wanganui District Council","Interest expenditure","Transportation",80
2013,"Wanganui District Council","Purchases and other operating expenditure","Transportation",680
2012,"Wanganui District Council","Rates","Transportation",-53
2012,"Wanganui District Council","Regulatory income and petrol tax","Transportation",425
2012,"Wanganui District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Wanganui District Council","Interest income","Transportation",0
2012,"Wanganui District Council","Dividend income","Transportation",0
2012,"Wanganui District Council","Sales and other operating income","Transportation",890
2012,"Wanganui District Council","Employee costs","Transportation",363
2012,"Wanganui District Council","Depreciation and amortisation","Transportation",110
2012,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Wanganui District Council","Interest expenditure","Transportation",80
2012,"Wanganui District Council","Purchases and other operating expenditure","Transportation",604
2011,"Wanganui District Council","Rates","Transportation",-182
2011,"Wanganui District Council","Regulatory income and petrol tax","Transportation",421
2011,"Wanganui District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Wanganui District Council","Interest income","Transportation",0
2011,"Wanganui District Council","Dividend income","Transportation",0
2011,"Wanganui District Council","Sales and other operating income","Transportation",1005
2011,"Wanganui District Council","Employee costs","Transportation",336
2011,"Wanganui District Council","Depreciation and amortisation","Transportation",124
2011,"Wanganui District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Wanganui District Council","Interest expenditure","Transportation",65
