"year","council","income","activity","val"
2014,"Wellington City Council","Rates","Roading",23247
2014,"Wellington City Council","Regulatory income and petrol tax","Roading",1074
2014,"Wellington City Council","Current grants, subsidies, and donations income","Roading",130
2014,"Wellington City Council","Interest income","Roading",0
2014,"Wellington City Council","Dividend income","Roading",0
2014,"Wellington City Council","Sales and other operating income","Roading",881
2014,"Wellington City Council","Employee costs","Roading",3657
2014,"Wellington City Council","Depreciation and amortisation","Roading",15776
2014,"Wellington City Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Wellington City Council","Interest expenditure","Roading",0
2014,"Wellington City Council","Purchases and other operating expenditure","Roading",16306
2013,"Wellington City Council","Rates","Roading",32045
2013,"Wellington City Council","Regulatory income and petrol tax","Roading",1102
2013,"Wellington City Council","Current grants, subsidies, and donations income","Roading",0
2013,"Wellington City Council","Interest income","Roading",0
2013,"Wellington City Council","Dividend income","Roading",0
2013,"Wellington City Council","Sales and other operating income","Roading",1030
2013,"Wellington City Council","Employee costs","Roading",5029
2013,"Wellington City Council","Depreciation and amortisation","Roading",19808
2013,"Wellington City Council","Current grants, subsidies, and donations expenditure","Roading",2995
2013,"Wellington City Council","Interest expenditure","Roading",0
2013,"Wellington City Council","Purchases and other operating expenditure","Roading",16043
2012,"Wellington City Council","Rates","Roading",28297
2012,"Wellington City Council","Regulatory income and petrol tax","Roading",1137
2012,"Wellington City Council","Current grants, subsidies, and donations income","Roading",3407
2012,"Wellington City Council","Interest income","Roading",0
2012,"Wellington City Council","Dividend income","Roading",0
2012,"Wellington City Council","Sales and other operating income","Roading",1221
2012,"Wellington City Council","Employee costs","Roading",5387
2012,"Wellington City Council","Depreciation and amortisation","Roading",18717
2012,"Wellington City Council","Current grants, subsidies, and donations expenditure","Roading",8
2012,"Wellington City Council","Interest expenditure","Roading",0
2012,"Wellington City Council","Purchases and other operating expenditure","Roading",14856
2011,"Wellington City Council","Rates","Roading",25436
2011,"Wellington City Council","Regulatory income and petrol tax","Roading",1167
2011,"Wellington City Council","Current grants, subsidies, and donations income","Roading",2372
2011,"Wellington City Council","Interest income","Roading",0
2011,"Wellington City Council","Dividend income","Roading",0
2011,"Wellington City Council","Sales and other operating income","Roading",998
2011,"Wellington City Council","Employee costs","Roading",5286
2011,"Wellington City Council","Depreciation and amortisation","Roading",17812
2011,"Wellington City Council","Current grants, subsidies, and donations expenditure","Roading",0
