"year","council","income","activity","val"
2014,"West Coast Regional Council","Rates","Roading",0
2014,"West Coast Regional Council","Regulatory income and petrol tax","Roading",0
2014,"West Coast Regional Council","Current grants, subsidies, and donations income","Roading",0
2014,"West Coast Regional Council","Interest income","Roading",0
2014,"West Coast Regional Council","Dividend income","Roading",0
2014,"West Coast Regional Council","Sales and other operating income","Roading",0
2014,"West Coast Regional Council","Employee costs","Roading",0
2014,"West Coast Regional Council","Depreciation and amortisation","Roading",0
2014,"West Coast Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"West Coast Regional Council","Interest expenditure","Roading",0
2014,"West Coast Regional Council","Purchases and other operating expenditure","Roading",0
2013,"West Coast Regional Council","Rates","Roading",0
2013,"West Coast Regional Council","Regulatory income and petrol tax","Roading",0
2013,"West Coast Regional Council","Current grants, subsidies, and donations income","Roading",0
2013,"West Coast Regional Council","Interest income","Roading",0
2013,"West Coast Regional Council","Dividend income","Roading",0
2013,"West Coast Regional Council","Sales and other operating income","Roading",0
2013,"West Coast Regional Council","Employee costs","Roading",0
2013,"West Coast Regional Council","Depreciation and amortisation","Roading",0
2013,"West Coast Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"West Coast Regional Council","Interest expenditure","Roading",0
2013,"West Coast Regional Council","Purchases and other operating expenditure","Roading",0
2012,"West Coast Regional Council","Rates","Roading",0
2012,"West Coast Regional Council","Regulatory income and petrol tax","Roading",0
2012,"West Coast Regional Council","Current grants, subsidies, and donations income","Roading",0
2012,"West Coast Regional Council","Interest income","Roading",0
2012,"West Coast Regional Council","Dividend income","Roading",0
2012,"West Coast Regional Council","Sales and other operating income","Roading",0
2012,"West Coast Regional Council","Employee costs","Roading",0
2012,"West Coast Regional Council","Depreciation and amortisation","Roading",0
2012,"West Coast Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"West Coast Regional Council","Interest expenditure","Roading",0
2012,"West Coast Regional Council","Purchases and other operating expenditure","Roading",0
2011,"West Coast Regional Council","Rates","Roading",0
2011,"West Coast Regional Council","Regulatory income and petrol tax","Roading",0
2011,"West Coast Regional Council","Current grants, subsidies, and donations income","Roading",0
2011,"West Coast Regional Council","Interest income","Roading",0
2011,"West Coast Regional Council","Dividend income","Roading",0
2011,"West Coast Regional Council","Sales and other operating income","Roading",0
2011,"West Coast Regional Council","Employee costs","Roading",0
2011,"West Coast Regional Council","Depreciation and amortisation","Roading",0
2011,"West Coast Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"West Coast Regional Council","Interest expenditure","Roading",0
2011,"West Coast Regional Council","Purchases and other operating expenditure","Roading",0
2010,"West Coast Regional Council","Rates","Roading",0
2010,"West Coast Regional Council","Regulatory income and petrol tax","Roading",0
2010,"West Coast Regional Council","Current grants, subsidies, and donations income","Roading",0
2010,"West Coast Regional Council","Interest income","Roading",0
2010,"West Coast Regional Council","Dividend income","Roading",0
2010,"West Coast Regional Council","Sales and other operating income","Roading",0
2010,"West Coast Regional Council","Employee costs","Roading",0
2010,"West Coast Regional Council","Depreciation and amortisation","Roading",0
2010,"West Coast Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"West Coast Regional Council","Interest expenditure","Roading",0
2010,"West Coast Regional Council","Purchases and other operating expenditure","Roading",0
2009,"West Coast Regional Council","Rates","Roading",0
2009,"West Coast Regional Council","Regulatory income and petrol tax","Roading",0
2009,"West Coast Regional Council","Current grants, subsidies, and donations income","Roading",0
2009,"West Coast Regional Council","Interest income","Roading",0
2009,"West Coast Regional Council","Dividend income","Roading",0
2009,"West Coast Regional Council","Sales and other operating income","Roading",0
2009,"West Coast Regional Council","Employee costs","Roading",0
2009,"West Coast Regional Council","Depreciation and amortisation","Roading",0
2009,"West Coast Regional Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"West Coast Regional Council","Interest expenditure","Roading",0
2009,"West Coast Regional Council","Purchases and other operating expenditure","Roading",0
2014,"West Coast Regional Council","Rates","Transportation",0
2014,"West Coast Regional Council","Regulatory income and petrol tax","Transportation",0
2014,"West Coast Regional Council","Current grants, subsidies, and donations income","Transportation",69
2014,"West Coast Regional Council","Interest income","Transportation",0
2014,"West Coast Regional Council","Dividend income","Transportation",0
2014,"West Coast Regional Council","Sales and other operating income","Transportation",0
2014,"West Coast Regional Council","Employee costs","Transportation",18
2014,"West Coast Regional Council","Depreciation and amortisation","Transportation",0
2014,"West Coast Regional Council","Current grants, subsidies, and donations expenditure","Transportation",0
