"year","council","income","activity","val"
2014,"Western Bay of Plenty District Council","Rates","Roading",14087
2014,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Roading",378
2014,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Roading",0
2014,"Western Bay of Plenty District Council","Interest income","Roading",0
2014,"Western Bay of Plenty District Council","Dividend income","Roading",0
2014,"Western Bay of Plenty District Council","Sales and other operating income","Roading",168
2014,"Western Bay of Plenty District Council","Employee costs","Roading",506
2014,"Western Bay of Plenty District Council","Depreciation and amortisation","Roading",7699
2014,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Western Bay of Plenty District Council","Interest expenditure","Roading",0
2014,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Roading",12356
2013,"Western Bay of Plenty District Council","Rates","Roading",13450
2013,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Roading",371
2013,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Roading",0
2013,"Western Bay of Plenty District Council","Interest income","Roading",0
2013,"Western Bay of Plenty District Council","Dividend income","Roading",0
2013,"Western Bay of Plenty District Council","Sales and other operating income","Roading",1343
2013,"Western Bay of Plenty District Council","Employee costs","Roading",524
2013,"Western Bay of Plenty District Council","Depreciation and amortisation","Roading",7270
2013,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Western Bay of Plenty District Council","Interest expenditure","Roading",1320
2013,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Roading",13296
2012,"Western Bay of Plenty District Council","Rates","Roading",16069
2012,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Roading",315
2012,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Roading",7604
2012,"Western Bay of Plenty District Council","Interest income","Roading",0
2012,"Western Bay of Plenty District Council","Dividend income","Roading",0
2012,"Western Bay of Plenty District Council","Sales and other operating income","Roading",820
2012,"Western Bay of Plenty District Council","Employee costs","Roading",536
2012,"Western Bay of Plenty District Council","Depreciation and amortisation","Roading",7428
2012,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Western Bay of Plenty District Council","Interest expenditure","Roading",0
2012,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Roading",4132
2011,"Western Bay of Plenty District Council","Rates","Roading",15748
2011,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Roading",377
2011,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Roading",3103
2011,"Western Bay of Plenty District Council","Interest income","Roading",0
2011,"Western Bay of Plenty District Council","Dividend income","Roading",0
2011,"Western Bay of Plenty District Council","Sales and other operating income","Roading",104
2011,"Western Bay of Plenty District Council","Employee costs","Roading",429
2011,"Western Bay of Plenty District Council","Depreciation and amortisation","Roading",7482
2011,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Western Bay of Plenty District Council","Interest expenditure","Roading",0
2011,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Roading",9056
2010,"Western Bay of Plenty District Council","Rates","Roading",14615
2010,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Roading",384
2010,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Roading",2692
2010,"Western Bay of Plenty District Council","Interest income","Roading",0
2010,"Western Bay of Plenty District Council","Dividend income","Roading",0
2010,"Western Bay of Plenty District Council","Sales and other operating income","Roading",104
2010,"Western Bay of Plenty District Council","Employee costs","Roading",445
2010,"Western Bay of Plenty District Council","Depreciation and amortisation","Roading",7128
2010,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Western Bay of Plenty District Council","Interest expenditure","Roading",0
2010,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Roading",9127
2009,"Western Bay of Plenty District Council","Rates","Roading",14094
2009,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Roading",372
2009,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Roading",2736
2009,"Western Bay of Plenty District Council","Interest income","Roading",0
2009,"Western Bay of Plenty District Council","Dividend income","Roading",0
2009,"Western Bay of Plenty District Council","Sales and other operating income","Roading",301
2009,"Western Bay of Plenty District Council","Employee costs","Roading",403
2009,"Western Bay of Plenty District Council","Depreciation and amortisation","Roading",7032
2009,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Western Bay of Plenty District Council","Interest expenditure","Roading",0
2009,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Roading",10818
2014,"Western Bay of Plenty District Council","Rates","Transportation",0
2014,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Transportation",0
2014,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Western Bay of Plenty District Council","Interest income","Transportation",0
2014,"Western Bay of Plenty District Council","Dividend income","Transportation",0
2014,"Western Bay of Plenty District Council","Sales and other operating income","Transportation",0
2014,"Western Bay of Plenty District Council","Employee costs","Transportation",0
2014,"Western Bay of Plenty District Council","Depreciation and amortisation","Transportation",0
2014,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Western Bay of Plenty District Council","Interest expenditure","Transportation",0
2014,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Transportation",0
2013,"Western Bay of Plenty District Council","Rates","Transportation",0
2013,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Transportation",0
2013,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Western Bay of Plenty District Council","Interest income","Transportation",0
2013,"Western Bay of Plenty District Council","Dividend income","Transportation",0
2013,"Western Bay of Plenty District Council","Sales and other operating income","Transportation",0
2013,"Western Bay of Plenty District Council","Employee costs","Transportation",0
2013,"Western Bay of Plenty District Council","Depreciation and amortisation","Transportation",0
2013,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Western Bay of Plenty District Council","Interest expenditure","Transportation",0
2013,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Transportation",0
2012,"Western Bay of Plenty District Council","Rates","Transportation",0
2012,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Transportation",0
2012,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Transportation",0
2012,"Western Bay of Plenty District Council","Interest income","Transportation",0
2012,"Western Bay of Plenty District Council","Dividend income","Transportation",0
2012,"Western Bay of Plenty District Council","Sales and other operating income","Transportation",0
2012,"Western Bay of Plenty District Council","Employee costs","Transportation",0
2012,"Western Bay of Plenty District Council","Depreciation and amortisation","Transportation",0
2012,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Western Bay of Plenty District Council","Interest expenditure","Transportation",0
2012,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Transportation",0
2011,"Western Bay of Plenty District Council","Rates","Transportation",0
2011,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Transportation",0
2011,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Western Bay of Plenty District Council","Interest income","Transportation",0
2011,"Western Bay of Plenty District Council","Dividend income","Transportation",0
2011,"Western Bay of Plenty District Council","Sales and other operating income","Transportation",0
2011,"Western Bay of Plenty District Council","Employee costs","Transportation",0
2011,"Western Bay of Plenty District Council","Depreciation and amortisation","Transportation",0
2011,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Western Bay of Plenty District Council","Interest expenditure","Transportation",0
2011,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Transportation",0
2010,"Western Bay of Plenty District Council","Rates","Transportation",0
2010,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Transportation",0
2010,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Western Bay of Plenty District Council","Interest income","Transportation",0
2010,"Western Bay of Plenty District Council","Dividend income","Transportation",0
2010,"Western Bay of Plenty District Council","Sales and other operating income","Transportation",0
2010,"Western Bay of Plenty District Council","Employee costs","Transportation",0
2010,"Western Bay of Plenty District Council","Depreciation and amortisation","Transportation",0
2010,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2010,"Western Bay of Plenty District Council","Interest expenditure","Transportation",0
2010,"Western Bay of Plenty District Council","Purchases and other operating expenditure","Transportation",0
2009,"Western Bay of Plenty District Council","Rates","Transportation",0
2009,"Western Bay of Plenty District Council","Regulatory income and petrol tax","Transportation",0
2009,"Western Bay of Plenty District Council","Current grants, subsidies, and donations income","Transportation",0
2009,"Western Bay of Plenty District Council","Interest income","Transportation",0
2009,"Western Bay of Plenty District Council","Dividend income","Transportation",0
2009,"Western Bay of Plenty District Council","Sales and other operating income","Transportation",0
2009,"Western Bay of Plenty District Council","Employee costs","Transportation",0
2009,"Western Bay of Plenty District Council","Depreciation and amortisation","Transportation",0
2009,"Western Bay of Plenty District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2009,"Western Bay of Plenty District Council","Interest expenditure","Transportation",0
