"year","council","income","activity","val"
2014,"Westland District Council","Rates","Roading",1416
2014,"Westland District Council","Regulatory income and petrol tax","Roading",122
2014,"Westland District Council","Current grants, subsidies, and donations income","Roading",3208
2014,"Westland District Council","Interest income","Roading",0
2014,"Westland District Council","Dividend income","Roading",0
2014,"Westland District Council","Sales and other operating income","Roading",0
2014,"Westland District Council","Employee costs","Roading",0
2014,"Westland District Council","Depreciation and amortisation","Roading",2887
2014,"Westland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Westland District Council","Interest expenditure","Roading",0
2014,"Westland District Council","Purchases and other operating expenditure","Roading",696
2013,"Westland District Council","Rates","Roading",1006
2013,"Westland District Council","Regulatory income and petrol tax","Roading",113
2013,"Westland District Council","Current grants, subsidies, and donations income","Roading",4386
2013,"Westland District Council","Interest income","Roading",0
2013,"Westland District Council","Dividend income","Roading",0
2013,"Westland District Council","Sales and other operating income","Roading",256
2013,"Westland District Council","Employee costs","Roading",0
2013,"Westland District Council","Depreciation and amortisation","Roading",2704
2013,"Westland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Westland District Council","Interest expenditure","Roading",0
2013,"Westland District Council","Purchases and other operating expenditure","Roading",1840
2012,"Westland District Council","Rates","Roading",0
2012,"Westland District Council","Regulatory income and petrol tax","Roading",126
2012,"Westland District Council","Current grants, subsidies, and donations income","Roading",3704
2012,"Westland District Council","Interest income","Roading",0
2012,"Westland District Council","Dividend income","Roading",0
2012,"Westland District Council","Sales and other operating income","Roading",424
2012,"Westland District Council","Employee costs","Roading",0
2012,"Westland District Council","Depreciation and amortisation","Roading",3127
2012,"Westland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Westland District Council","Interest expenditure","Roading",0
2012,"Westland District Council","Purchases and other operating expenditure","Roading",2140
2011,"Westland District Council","Rates","Roading",927
2011,"Westland District Council","Regulatory income and petrol tax","Roading",261
2011,"Westland District Council","Current grants, subsidies, and donations income","Roading",3114
2011,"Westland District Council","Interest income","Roading",0
2011,"Westland District Council","Dividend income","Roading",0
2011,"Westland District Council","Sales and other operating income","Roading",48
2011,"Westland District Council","Employee costs","Roading",654
2011,"Westland District Council","Depreciation and amortisation","Roading",2947
2011,"Westland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Westland District Council","Interest expenditure","Roading",0
2011,"Westland District Council","Purchases and other operating expenditure","Roading",1566
2010,"Westland District Council","Rates","Roading",1061
2010,"Westland District Council","Regulatory income and petrol tax","Roading",113
2010,"Westland District Council","Current grants, subsidies, and donations income","Roading",2986
2010,"Westland District Council","Interest income","Roading",0
2010,"Westland District Council","Dividend income","Roading",0
2010,"Westland District Council","Sales and other operating income","Roading",64
2010,"Westland District Council","Employee costs","Roading",557
2010,"Westland District Council","Depreciation and amortisation","Roading",2646
2010,"Westland District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Westland District Council","Interest expenditure","Roading",0
2010,"Westland District Council","Purchases and other operating expenditure","Roading",1225
2009,"Westland District Council","Rates","Roading",1342
2009,"Westland District Council","Regulatory income and petrol tax","Roading",116
2009,"Westland District Council","Current grants, subsidies, and donations income","Roading",2708
2009,"Westland District Council","Interest income","Roading",0
2009,"Westland District Council","Dividend income","Roading",0
2009,"Westland District Council","Sales and other operating income","Roading",43
2009,"Westland District Council","Employee costs","Roading",319
2009,"Westland District Council","Depreciation and amortisation","Roading",2456
