"year","council","income","activity","val"
2014,"Whakatane District Council","Rates","Roading",7635
2014,"Whakatane District Council","Regulatory income and petrol tax","Roading",680
2014,"Whakatane District Council","Current grants, subsidies, and donations income","Roading",2705
2014,"Whakatane District Council","Interest income","Roading",0
2014,"Whakatane District Council","Dividend income","Roading",0
2014,"Whakatane District Council","Sales and other operating income","Roading",185
2014,"Whakatane District Council","Employee costs","Roading",265
2014,"Whakatane District Council","Depreciation and amortisation","Roading",6552
2014,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Whakatane District Council","Interest expenditure","Roading",613
2014,"Whakatane District Council","Purchases and other operating expenditure","Roading",5250
2013,"Whakatane District Council","Rates","Roading",7910
2013,"Whakatane District Council","Regulatory income and petrol tax","Roading",256
2013,"Whakatane District Council","Current grants, subsidies, and donations income","Roading",2606
2013,"Whakatane District Council","Interest income","Roading",0
2013,"Whakatane District Council","Dividend income","Roading",0
2013,"Whakatane District Council","Sales and other operating income","Roading",288
2013,"Whakatane District Council","Employee costs","Roading",488
2013,"Whakatane District Council","Depreciation and amortisation","Roading",6433
2013,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Roading",28
2013,"Whakatane District Council","Interest expenditure","Roading",673
2013,"Whakatane District Council","Purchases and other operating expenditure","Roading",5273
2012,"Whakatane District Council","Rates","Roading",6863
2012,"Whakatane District Council","Regulatory income and petrol tax","Roading",264
2012,"Whakatane District Council","Current grants, subsidies, and donations income","Roading",3031
2012,"Whakatane District Council","Interest income","Roading",0
2012,"Whakatane District Council","Dividend income","Roading",0
2012,"Whakatane District Council","Sales and other operating income","Roading",47
2012,"Whakatane District Council","Employee costs","Roading",74
2012,"Whakatane District Council","Depreciation and amortisation","Roading",6023
2012,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Whakatane District Council","Interest expenditure","Roading",590
2012,"Whakatane District Council","Purchases and other operating expenditure","Roading",6007
2011,"Whakatane District Council","Rates","Roading",6397
2011,"Whakatane District Council","Regulatory income and petrol tax","Roading",255
2011,"Whakatane District Council","Current grants, subsidies, and donations income","Roading",11283
2011,"Whakatane District Council","Interest income","Roading",0
2011,"Whakatane District Council","Dividend income","Roading",0
2011,"Whakatane District Council","Sales and other operating income","Roading",148
2011,"Whakatane District Council","Employee costs","Roading",68
2011,"Whakatane District Council","Depreciation and amortisation","Roading",5895
2011,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Whakatane District Council","Interest expenditure","Roading",0
2011,"Whakatane District Council","Purchases and other operating expenditure","Roading",8151
2010,"Whakatane District Council","Rates","Roading",7015
2010,"Whakatane District Council","Regulatory income and petrol tax","Roading",267
2010,"Whakatane District Council","Current grants, subsidies, and donations income","Roading",5568
2010,"Whakatane District Council","Interest income","Roading",0
2010,"Whakatane District Council","Dividend income","Roading",0
2010,"Whakatane District Council","Sales and other operating income","Roading",44
2010,"Whakatane District Council","Employee costs","Roading",54
2010,"Whakatane District Council","Depreciation and amortisation","Roading",5885
2010,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Whakatane District Council","Interest expenditure","Roading",0
2010,"Whakatane District Council","Purchases and other operating expenditure","Roading",4920
2009,"Whakatane District Council","Rates","Roading",6724
2009,"Whakatane District Council","Regulatory income and petrol tax","Roading",248
2009,"Whakatane District Council","Current grants, subsidies, and donations income","Roading",6378
2009,"Whakatane District Council","Interest income","Roading",0
2009,"Whakatane District Council","Dividend income","Roading",0
2009,"Whakatane District Council","Sales and other operating income","Roading",155
2009,"Whakatane District Council","Employee costs","Roading",55
2009,"Whakatane District Council","Depreciation and amortisation","Roading",6030
2009,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Whakatane District Council","Interest expenditure","Roading",170
2009,"Whakatane District Council","Purchases and other operating expenditure","Roading",6593
2014,"Whakatane District Council","Rates","Transportation",0
2014,"Whakatane District Council","Regulatory income and petrol tax","Transportation",305
2014,"Whakatane District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Whakatane District Council","Interest income","Transportation",0
2014,"Whakatane District Council","Dividend income","Transportation",0
2014,"Whakatane District Council","Sales and other operating income","Transportation",247
2014,"Whakatane District Council","Employee costs","Transportation",131
2014,"Whakatane District Council","Depreciation and amortisation","Transportation",10
2014,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Whakatane District Council","Interest expenditure","Transportation",18
2014,"Whakatane District Council","Purchases and other operating expenditure","Transportation",100
2013,"Whakatane District Council","Rates","Transportation",0
2013,"Whakatane District Council","Regulatory income and petrol tax","Transportation",407
2013,"Whakatane District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Whakatane District Council","Interest income","Transportation",0
2013,"Whakatane District Council","Dividend income","Transportation",0
2013,"Whakatane District Council","Sales and other operating income","Transportation",135
2013,"Whakatane District Council","Employee costs","Transportation",129
2013,"Whakatane District Council","Depreciation and amortisation","Transportation",39
2013,"Whakatane District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Whakatane District Council","Interest expenditure","Transportation",18
