"year","council","income","activity","val"
2014,"Whangarei District Council","Rates","Roading",14694
2014,"Whangarei District Council","Regulatory income and petrol tax","Roading",562
2014,"Whangarei District Council","Current grants, subsidies, and donations income","Roading",5546
2014,"Whangarei District Council","Interest income","Roading",0
2014,"Whangarei District Council","Dividend income","Roading",0
2014,"Whangarei District Council","Sales and other operating income","Roading",3220
2014,"Whangarei District Council","Employee costs","Roading",1038
2014,"Whangarei District Council","Depreciation and amortisation","Roading",16910
2014,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2014,"Whangarei District Council","Interest expenditure","Roading",1244
2014,"Whangarei District Council","Purchases and other operating expenditure","Roading",11645
2013,"Whangarei District Council","Rates","Roading",16210
2013,"Whangarei District Council","Regulatory income and petrol tax","Roading",530
2013,"Whangarei District Council","Current grants, subsidies, and donations income","Roading",5519
2013,"Whangarei District Council","Interest income","Roading",0
2013,"Whangarei District Council","Dividend income","Roading",0
2013,"Whangarei District Council","Sales and other operating income","Roading",1446
2013,"Whangarei District Council","Employee costs","Roading",1044
2013,"Whangarei District Council","Depreciation and amortisation","Roading",16222
2013,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2013,"Whangarei District Council","Interest expenditure","Roading",2377
2013,"Whangarei District Council","Purchases and other operating expenditure","Roading",10
2012,"Whangarei District Council","Rates","Roading",0
2012,"Whangarei District Council","Regulatory income and petrol tax","Roading",470
2012,"Whangarei District Council","Current grants, subsidies, and donations income","Roading",0
2012,"Whangarei District Council","Interest income","Roading",0
2012,"Whangarei District Council","Dividend income","Roading",0
2012,"Whangarei District Council","Sales and other operating income","Roading",0
2012,"Whangarei District Council","Employee costs","Roading",882
2012,"Whangarei District Council","Depreciation and amortisation","Roading",0
2012,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2012,"Whangarei District Council","Interest expenditure","Roading",0
2012,"Whangarei District Council","Purchases and other operating expenditure","Roading",0
2011,"Whangarei District Council","Rates","Roading",8543
2011,"Whangarei District Council","Regulatory income and petrol tax","Roading",477
2011,"Whangarei District Council","Current grants, subsidies, and donations income","Roading",9168
2011,"Whangarei District Council","Interest income","Roading",0
2011,"Whangarei District Council","Dividend income","Roading",0
2011,"Whangarei District Council","Sales and other operating income","Roading",0
2011,"Whangarei District Council","Employee costs","Roading",806
2011,"Whangarei District Council","Depreciation and amortisation","Roading",14698
2011,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2011,"Whangarei District Council","Interest expenditure","Roading",0
2011,"Whangarei District Council","Purchases and other operating expenditure","Roading",16784
2010,"Whangarei District Council","Rates","Roading",36
2010,"Whangarei District Council","Regulatory income and petrol tax","Roading",541
2010,"Whangarei District Council","Current grants, subsidies, and donations income","Roading",6812
2010,"Whangarei District Council","Interest income","Roading",0
2010,"Whangarei District Council","Dividend income","Roading",0
2010,"Whangarei District Council","Sales and other operating income","Roading",83
2010,"Whangarei District Council","Employee costs","Roading",1013
2010,"Whangarei District Council","Depreciation and amortisation","Roading",13731
2010,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2010,"Whangarei District Council","Interest expenditure","Roading",2715
2010,"Whangarei District Council","Purchases and other operating expenditure","Roading",14638
2009,"Whangarei District Council","Rates","Roading",81
2009,"Whangarei District Council","Regulatory income and petrol tax","Roading",525
2009,"Whangarei District Council","Current grants, subsidies, and donations income","Roading",4750
2009,"Whangarei District Council","Interest income","Roading",0
2009,"Whangarei District Council","Dividend income","Roading",0
2009,"Whangarei District Council","Sales and other operating income","Roading",0
2009,"Whangarei District Council","Employee costs","Roading",1032
2009,"Whangarei District Council","Depreciation and amortisation","Roading",13050
2009,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Roading",0
2009,"Whangarei District Council","Interest expenditure","Roading",2313
2009,"Whangarei District Council","Purchases and other operating expenditure","Roading",16735
2014,"Whangarei District Council","Rates","Transportation",0
2014,"Whangarei District Council","Regulatory income and petrol tax","Transportation",0
2014,"Whangarei District Council","Current grants, subsidies, and donations income","Transportation",0
2014,"Whangarei District Council","Interest income","Transportation",0
2014,"Whangarei District Council","Dividend income","Transportation",0
2014,"Whangarei District Council","Sales and other operating income","Transportation",0
2014,"Whangarei District Council","Employee costs","Transportation",0
2014,"Whangarei District Council","Depreciation and amortisation","Transportation",0
2014,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2014,"Whangarei District Council","Interest expenditure","Transportation",0
2014,"Whangarei District Council","Purchases and other operating expenditure","Transportation",0
2013,"Whangarei District Council","Rates","Transportation",0
2013,"Whangarei District Council","Regulatory income and petrol tax","Transportation",0
2013,"Whangarei District Council","Current grants, subsidies, and donations income","Transportation",0
2013,"Whangarei District Council","Interest income","Transportation",0
2013,"Whangarei District Council","Dividend income","Transportation",0
2013,"Whangarei District Council","Sales and other operating income","Transportation",0
2013,"Whangarei District Council","Employee costs","Transportation",0
2013,"Whangarei District Council","Depreciation and amortisation","Transportation",0
2013,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2013,"Whangarei District Council","Interest expenditure","Transportation",0
2013,"Whangarei District Council","Purchases and other operating expenditure","Transportation",0
2012,"Whangarei District Council","Rates","Transportation",3133
2012,"Whangarei District Council","Regulatory income and petrol tax","Transportation",290
2012,"Whangarei District Council","Current grants, subsidies, and donations income","Transportation",13024
2012,"Whangarei District Council","Interest income","Transportation",0
2012,"Whangarei District Council","Dividend income","Transportation",0
2012,"Whangarei District Council","Sales and other operating income","Transportation",3
2012,"Whangarei District Council","Employee costs","Transportation",1056
2012,"Whangarei District Council","Depreciation and amortisation","Transportation",15900
2012,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2012,"Whangarei District Council","Interest expenditure","Transportation",3596
2012,"Whangarei District Council","Purchases and other operating expenditure","Transportation",16846
2011,"Whangarei District Council","Rates","Transportation",0
2011,"Whangarei District Council","Regulatory income and petrol tax","Transportation",0
2011,"Whangarei District Council","Current grants, subsidies, and donations income","Transportation",0
2011,"Whangarei District Council","Interest income","Transportation",0
2011,"Whangarei District Council","Dividend income","Transportation",0
2011,"Whangarei District Council","Sales and other operating income","Transportation",1187
2011,"Whangarei District Council","Employee costs","Transportation",0
2011,"Whangarei District Council","Depreciation and amortisation","Transportation",0
2011,"Whangarei District Council","Current grants, subsidies, and donations expenditure","Transportation",0
2011,"Whangarei District Council","Interest expenditure","Transportation",2887
2011,"Whangarei District Council","Purchases and other operating expenditure","Transportation",0
2010,"Whangarei District Council","Rates","Transportation",0
2010,"Whangarei District Council","Regulatory income and petrol tax","Transportation",710
2010,"Whangarei District Council","Current grants, subsidies, and donations income","Transportation",0
2010,"Whangarei District Council","Interest income","Transportation",0
2010,"Whangarei District Council","Dividend income","Transportation",0
2010,"Whangarei District Council","Sales and other operating income","Transportation",1164
2010,"Whangarei District Council","Employee costs","Transportation",0
2010,"Whangarei District Council","Depreciation and amortisation","Transportation",0
